Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.24392156,0.246752007,0.243850597,0.234626901,0.218570076,0.195376076,0.202949309,0.20563057,0.203353378,0.19637603,0.184264113,0.197090604,0.205668329,0.208744104,0.205546549,0.19565261,0.207817776,0.215167488,0.216953148,0.212731563,0.202324575,0.214501046,0.221844637,0.223718025,0.21984291,0.209876227,0.222483413,0.23048259,0.233082447,0.229833767,0.220539267,0.232417738,0.23949802,0.24143898,0.238440247,0.230798014,0.243838533,0.251671047,0.253424254,0.248430251,0.236333544,0.249164523,0.256889408,0.258968175,0.255327633,0.245968374,0.259272955,0.267961576,0.271480376,0.269734569,0.262852679,0.276496581,0.285492468,0.289479988,0.288516834,0.282868698,0.297039472,
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.410168935,0.415082402,0.411934217,0.399885847,0.378255854,0.347020077,0.357758508,0.36129575,0.357573987,0.347031141,0.32953206,0.347264868,0.358766,0.36250579,0.35749407,0.343463423,0.360279048,0.369898428,0.371740392,0.36584264,0.352282841,0.370241159,0.381290455,0.384294442,0.37871013,0.364307792,0.380736018,0.390233178,0.392187391,0.386437375,0.373042844,0.388204143,0.396733242,0.398266421,0.393254673,0.382450872,0.398892772,0.407963944,0.408821188,0.400947596,0.384108422,0.399684202,0.408255083,0.409318395,0.403005969,0.389668289,0.405343581,0.414742007,0.417405805,0.413407584,0.403223915,0.418791724,0.428227424,0.431313101,0.428402161,0.420064732,0.436132163,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.361722246,0.359435691,0.355447432,0.351022802,0.347748055,0.346398505,0.354130693,0.360611439,0.364719255,0.365669007,0.36410465,0.368364803,0.369711798,0.369048883,0.367200154,0.364978738,0.368408984,0.369676371,0.369637543,0.369282053,0.369481128,0.37573896,0.380102342,0.382750475,0.383881317,0.384097174,0.389019852,0.392005231,0.393563905,0.394187725,0.394469569,0.398129921,0.400279832,0.401474544,0.402415608,0.404073853,0.40768843,0.409151442,0.409174062,0.408333518,0.407127163,0.411823941,0.414801028,0.416460051,0.417268737,0.417861358,0.42224229,0.425278842,0.427548129,0.429544244,0.431830291,0.43615565,0.43937386,0.442220686,0.445366487,0.449372743,0.454351532,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,0.550449247,0.546585039,0.541193362,0.535836755,0.532290049,0.531443185,0.539253872,0.546072809,0.55082873,0.552494773,0.55174146,0.555291233,0.555322988,0.553745256,0.552257834,0.551928461,0.556616292,0.559632306,0.561228966,0.561618551,0.561548144,0.565343945,0.56641461,0.566055981,0.565371216,0.565168282,0.568800386,0.571054653,0.572322798,0.57281161,0.573006583,0.574144148,0.57389062,0.573230483,0.573153309,0.574718552,0.575890848,0.575037046,0.573221348,0.571087552,0.569104605,0.571201209,0.571877398,0.571733325,0.571247615,0.57101446,0.572487851,0.572869974,0.573078926,0.573774424,0.575498039,0.577136036,0.578135478,0.579386904,0.581540685,0.585075484,0.587320862,
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,0.671820881,0.675808065,0.682407037,0.689490995,0.694487003,0.696791111,0.694849103,0.691175682,0.687516631,0.685272403,0.685149034,0.683493296,0.681864143,0.681420912,0.683078191,0.687211654,0.689443518,0.692372721,0.696128711,0.700626951,0.706056143,0.708535462,0.71044995,0.712674157,0.715773465,0.72001209,0.721198797,0.722926684,0.725478262,0.728609823,0.732225026,0.730952798,0.730000154,0.730411649,0.73332826,0.739485466,0.739723678,0.740428722,0.742026037,0.744288612,0.746992371,0.747693503,0.748280969,0.749461126,0.751776941,0.75552339,0.756239766,0.757531918,0.76002452,0.764103591,0.769950514,0.771660923,0.774161918,0.77784505,0.782934039,0.789513148,0.790950094,
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.957039923,0.959509449,0.966019976,0.974120148,0.980505521,0.984474354,0.980479276,0.974466491,0.969211278,0.967475928,0.97051027,0.969955169,0.971108471,0.973737787,0.977169121,0.981415339,0.978594225,0.975587655,0.973927994,0.974964798,0.979506173,0.978988836,0.979344105,0.980867658,0.983458017,0.987261738,0.984431109,0.982553962,0.982084968,0.983042444,0.985378329,0.979497429,0.97483131,0.972357542,0.973266504,0.978461642,0.974163143,0.971053636,0.969555161,0.969348023,0.970160722,0.965894946,0.962158486,0.959715099,0.959242245,0.961096591,0.957319503,0.954941055,0.954420722,0.956035538,0.959932903,0.956861992,0.955211004,0.95533515,0.957477546,0.961698422,0.958468542,
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1.123939365,1.115930674,1.107604117,1.100831604,1.097022175,1.096524009,1.087707034,1.081620177,1.079064577,1.080890957,1.08726138,1.086493772,1.089185479,1.09472874,1.102125849,1.110764351,1.109472037,1.109780592,1.11223221,1.117330447,1.1251908,1.124350026,1.125482086,1.128606282,1.13339184,1.139471952,1.136149333,1.13503128,1.13641687,1.140309731,1.146290149,1.143022708,1.1425882,1.144872608,1.150091649,1.158654032,1.155039293,1.153504966,1.154463264,1.157580098,1.162228493,1.159854834,1.159091348,1.160249855,1.163818097,1.169822866,1.168377417,1.169202691,1.172029803,1.176524795,1.182416777,1.180035384,1.180056099,1.181332597,1.182348979,1.182598497,1.172694297,
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1.504438234,1.492876787,1.481775694,1.47386064,1.47172662,1.476039872,1.468459546,1.46629707,1.468453551,1.47346548,1.480523221,1.472377719,1.466446815,1.464053731,1.466226048,1.472996191,1.466639621,1.464397266,1.465956937,1.470650631,1.478070979,1.471265358,1.46687714,1.46532531,1.466652713,1.470479204,1.460848435,1.454727046,1.452277152,1.45321676,1.456874599,1.447072714,1.441249418,1.43914905,1.440859497,1.446652477,1.435872289,1.428032019,1.423741988,1.422789604,1.424406981,1.415459199,1.409313406,1.406068242,1.405843663,1.408401415,1.400135246,1.39477447,1.392109648,1.391805426,1.39342361,1.384020473,1.378177634,1.374078162,1.369226159,1.362580179,1.342504157,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1.574712339,1.560316846,1.551363812,1.547621262,1.549003581,1.555211739,1.551655865,1.553708293,1.559793582,1.568301,1.578412371,1.575862945,1.576023846,1.579017715,1.584902154,1.593401593,1.590280078,1.590827649,1.594383103,1.600280627,1.608193375,1.603838929,1.601931831,1.602885914,1.607031339,1.614163474,1.610715279,1.611903358,1.616466515,1.622676447,1.629206099,1.623653455,1.620847156,1.620921371,1.624803408,1.633231416,1.627660341,1.625720428,1.627451358,1.632138535,1.638635212,1.636020279,1.635951611,1.637902964,1.64150582,1.646199812,1.640523817,1.638107909,1.637023272,1.634770577,1.63020527,1.613208243,1.59650198,1.582490415,1.574194212,1.572720382,1.566454421,
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,2.023022142,2.011015568,2.008783828,2.013120115,2.019999952,2.027310873,2.015280679,2.006499599,2.001800204,2.00267278,2.00949486,2.000941735,1.998647076,2.001236988,2.006884656,2.014369784,2.0043641,1.998256077,1.995776964,1.996837977,2.001234235,1.989280881,1.981211637,1.977104603,1.976996516,1.980357352,1.969452566,1.964351766,1.963471077,1.964740758,1.966496407,1.952653307,1.942322079,1.93560964,1.933572563,1.937011205,1.923567392,1.914975974,1.911005992,1.910550353,1.912148324,1.901182798,1.893420183,1.888192397,1.885101397,1.883473568,1.869430473,1.859607358,1.851205606,1.840633547,1.826324844,1.796783475,1.766777215,1.740019532,1.721460724,1.713104011,1.702086652,
