Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.236108272,0.243091343,0.242046266,0.231381081,0.209652499,0.176470531,0.183812552,0.185094105,0.180587852,0.170644855,0.154556724,0.171290722,0.183932046,0.190863533,0.190576715,0.181632348,0.200333705,0.212941779,0.21859958,0.216976832,0.207029257,0.227674287,0.242078831,0.248643247,0.246233899,0.233722516,0.254398933,0.268296064,0.273980106,0.270719121,0.258209901,0.279206482,0.293913657,0.301359777,0.301111667,0.292861398,0.324209748,0.352810454,0.37822383,0.40039859,0.419179796,0.458480764,0.494508842,0.526443972,0.553496068,0.575132943,0.620194476,0.660755732,0.696298897,0.726155526,0.749647721,0.797111619,0.838704819,0.874265814,0.903155249,0.924358887,0.967785469,
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.224700612,0.230526744,0.22904491,0.218987309,0.199091407,0.168860966,0.175065417,0.176100023,0.171966378,0.162730395,0.147618325,0.161425223,0.17185201,0.178026469,0.178949277,0.173236152,0.190261943,0.202213976,0.208112951,0.207465818,0.199340561,0.2159817,0.2277877,0.233065529,0.230251366,0.21839587,0.233449353,0.24279066,0.24615332,0.243618151,0.234848693,0.255020258,0.270903472,0.281542865,0.28636108,0.28507365,0.314390094,0.341085527,0.365086031,0.386770418,0.406151465,0.445412472,0.482036926,0.515437742,0.545094345,0.570610981,0.618288329,0.662423232,0.701811764,0.734869647,0.760747142,0.819611482,0.87435613,0.925024103,0.971362309,1.013075535,1.066523513,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.410507021,0.399747345,0.386102337,0.37263552,0.362663113,0.35755533,0.370783116,0.381928864,0.389415987,0.393003905,0.394438141,0.411552109,0.424712032,0.435250156,0.444833014,0.454906108,0.473690251,0.487463736,0.495553475,0.498443299,0.497904665,0.508682264,0.514402997,0.514803136,0.50980551,0.500606449,0.506620793,0.50890435,0.508878027,0.508078673,0.507995408,0.518932346,0.527478532,0.53448153,0.540871009,0.547806917,0.573599998,0.598057652,0.620934988,0.641987455,0.661690389,0.683324355,0.70236359,0.71952472,0.735804046,0.75209861,0.774644692,0.79568825,0.814946299,0.832219927,0.847603204,0.865998205,0.87994453,0.890256542,0.899328462,0.9092156,0.929351864,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,0.379326135,0.369589047,0.357155461,0.343982665,0.332364704,0.323569367,0.332883976,0.339438226,0.342835069,0.344012482,0.34470456,0.361912005,0.376495023,0.387963623,0.396236049,0.402298447,0.416506457,0.425831504,0.429675017,0.428280975,0.423198852,0.42841524,0.42963699,0.428206736,0.425790858,0.423764225,0.435325901,0.445161647,0.452894872,0.458727164,0.463957531,0.479270024,0.492396866,0.504532538,0.517141633,0.531621695,0.560374601,0.588465224,0.615280376,0.640274118,0.663792501,0.689294134,0.713011084,0.734539998,0.752971289,0.767862607,0.784491061,0.798218088,0.810194523,0.821267881,0.831159829,0.851077063,0.868096561,0.884287841,0.902415299,0.923033115,0.949740968,
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,0.761925758,0.768393119,0.780794773,0.795726442,0.809054433,0.819535915,0.828671384,0.833890157,0.839226191,0.848610175,0.863614487,0.886496568,0.911255013,0.937932231,0.96477607,0.990540146,0.998353698,1.001600792,1.002001927,1.000764985,0.998666216,0.989451022,0.977311489,0.964239615,0.951433123,0.939525193,0.93823877,0.937771634,0.939692399,0.944970628,0.953824976,0.961797813,0.971010144,0.982122964,0.994868782,1.009065641,1.030129773,1.049635419,1.069197455,1.090430778,1.114266717,1.133354979,1.152225735,1.171310653,1.191099893,1.212244114,1.233191887,1.251792517,1.268910279,1.285854464,1.303351982,1.320495112,1.337156908,1.352343457,1.364461413,1.373142582,1.381115822,
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.707415309,0.706630444,0.709284439,0.714276009,0.720070225,0.726098833,0.735454532,0.742557972,0.748872169,0.755665794,0.763823896,0.778508958,0.793978043,0.810319874,0.825609552,0.83871908,0.838930273,0.833373542,0.826615994,0.823168004,0.824429938,0.828196468,0.833865265,0.840498077,0.846064703,0.849739592,0.856726333,0.862827429,0.870708651,0.882586569,0.899036654,0.916861368,0.937067356,0.959737727,0.983923086,1.009087571,1.034535522,1.058580987,1.081894688,1.104759185,1.127627065,1.142506276,1.153646827,1.162617825,1.172127505,1.184541304,1.200416532,1.21355915,1.224710178,1.236660886,1.251742533,1.285054922,1.318635077,1.348014982,1.369101857,1.381340848,1.395249568,
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1.380498201,1.386585647,1.392618009,1.400426519,1.412752421,1.431979968,1.445485981,1.461295032,1.477606572,1.494123093,1.512824105,1.531465019,1.552855172,1.576841702,1.601854725,1.627158242,1.614009842,1.598460456,1.582477679,1.569464762,1.562079522,1.536172256,1.513337168,1.493104814,1.475428347,1.461387346,1.458079256,1.458960012,1.463172497,1.470177543,1.480417806,1.482656131,1.487432329,1.495606987,1.508243417,1.526190064,1.544452441,1.565056133,1.588437512,1.614771051,1.643958594,1.659666315,1.675950878,1.694462755,1.717110728,1.744481267,1.763516355,1.78346456,1.801870037,1.815090819,1.821365293,1.820756105,1.820974896,1.818907927,1.808031868,1.785703112,1.747281311,
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1.256731185,1.26058252,1.267045927,1.274422494,1.281454388,1.289181364,1.290353902,1.291381781,1.291923185,1.292589975,1.29558737,1.298840027,1.304088603,1.314276308,1.332137958,1.358694071,1.362231751,1.366909374,1.371044263,1.37444624,1.378613782,1.373586351,1.369574202,1.366715131,1.365865756,1.368646616,1.377907433,1.391163446,1.407049551,1.424503067,1.443527439,1.457322563,1.473898553,1.492961707,1.513684665,1.535855484,1.548915006,1.561994185,1.577421315,1.597807737,1.624310997,1.633591655,1.644387521,1.659486061,1.682049537,1.713088988,1.735400475,1.761184324,1.786327822,1.804524372,1.81270385,1.818982197,1.821267482,1.816863956,1.799513048,1.767320121,1.718829042,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,2.098011406,2.102288863,2.118889779,2.144023963,2.170839205,2.19515912,2.188071146,2.18125349,2.177371446,2.178774402,2.186241692,2.185033127,2.190504186,2.204518212,2.226139219,2.252744766,2.223557041,2.198789353,2.179715914,2.167699187,2.162654024,2.121922766,2.089820536,2.065009321,2.044711634,2.027208728,2.013343129,2.004237254,2.001618798,2.006976374,2.020176056,2.021058789,2.028749774,2.043544969,2.065007474,2.092091996,2.110257126,2.129979923,2.152390863,2.179497874,2.211991547,2.230006945,2.25240025,2.275225409,2.294024359,2.307296865,2.298974242,2.290884905,2.277818078,2.2524432,2.21411651,2.163251231,2.099760327,2.044098006,2.026256903,2.063331273,2.142371761,
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,1.934431461,1.919023099,1.911313908,1.909864643,1.910495518,1.910776894,1.884644596,1.858639715,1.839551786,1.835390478,1.849345343,1.864300529,1.894908485,1.93697863,1.982584869,2.026315009,2.016190731,2.003261808,1.991944676,1.987364738,1.991166253,1.974495782,1.966981876,1.966248995,1.967928268,1.969534982,1.967469557,1.968004319,1.971915752,1.979610744,1.990728284,1.992698285,1.998298651,2.009337554,2.027707808,2.053896915,2.070548454,2.091017494,2.117173334,2.1519862,2.196033084,2.221383504,2.254963442,2.289956672,2.318134884,2.336244989,2.322817022,2.307612087,2.285668323,2.249505703,2.198471126,2.132618882,2.051448394,1.978181195,1.945496128,1.971706875,2.040029646,
