Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1.354952909,1.429551506,1.475846637,1.48919637,1.466467779,1.407150299,1.472986576,1.510024844,1.512703042,1.47662219,1.401127677,1.457697446,1.486583851,1.488271047,1.46395566,1.412599566,1.502595013,1.565345869,1.599727876,1.607779262,1.589019913,1.715958175,1.816015606,1.880193362,1.904130012,1.887692568,2.008887483,2.098047933,2.152552418,2.172180993,2.157918797,2.275881531,2.369402747,2.414752109,2.384954556,2.274059146,2.252268059,2.17743738,2.083541335,2.008726378,1.968029856,2.083163797,2.208280609,2.330585703,2.439734151,2.53343732,2.708511902,2.869777866,3.009411433,3.116294223,3.187982751,3.300200542,3.382987258,3.45088285,3.518345512,3.593327954,3.748362706,
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,2.059540612,2.187706521,2.286092297,2.352272718,2.386789739,2.393149471,2.522388002,2.618893993,2.678900884,2.701684074,2.690704692,2.82360916,2.921066726,2.984453878,3.018576792,3.02825996,3.204293043,3.346831349,3.453440317,3.525215792,3.566221507,3.769499143,3.934002917,4.059238668,4.1485817,4.207827539,4.420099633,4.594250998,4.729000879,4.82431378,4.883052394,5.097331099,5.281567858,5.406981712,5.433161314,5.347036264,5.305951391,5.16424608,4.993689761,4.882689888,4.874650603,5.089465359,5.358877342,5.638255886,5.871968987,6.037207212,6.238864708,6.380228162,6.472373423,6.521783685,6.534961704,6.550219751,6.520138857,6.476613237,6.446535604,6.44217362,6.510651025,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1.901403319,1.902729917,1.901175879,1.897078504,1.888155432,1.875322192,1.866145284,1.845845642,1.827559249,1.825393343,1.844273323,1.892068239,1.939349083,1.986306265,2.03534162,2.089636772,2.173826226,2.254205647,2.324790982,2.377437786,2.411565517,2.444494119,2.456461112,2.458243107,2.459527791,2.464364748,2.477097895,2.50288087,2.516681015,2.477858027,2.371117753,2.19439196,1.951670291,1.715850988,1.577191592,1.573656501,1.690284759,1.89352893,2.130227814,2.337687815,2.489120121,2.594011425,2.67123045,2.728381288,2.768376141,2.79106065,2.773497918,2.737612325,2.705528293,2.704844276,2.749203273,2.809909544,2.900837083,3.017068211,3.154217863,3.307590266,3.445069518,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,2.703650077,2.743476746,2.78974807,2.843367398,2.901701646,2.964001192,2.990231736,3.012466915,3.042829716,3.093087903,3.168125012,3.227699604,3.29992651,3.38470322,3.477261787,3.575162991,3.64431859,3.712322313,3.787774101,3.875150153,3.973831728,4.024412756,4.073091027,4.125930844,4.186508185,4.253186586,4.262085225,4.296887989,4.324607296,4.287924721,4.158357703,3.889958612,3.510738055,3.133884911,2.920478417,2.951821613,3.17601946,3.602050663,4.102029241,4.503421399,4.718036096,4.727489139,4.605614674,4.41312318,4.224555136,4.074644527,3.904961615,3.752599936,3.62865249,3.555124021,3.546422045,3.563811891,3.642320377,3.767120711,3.922504446,4.097326169,4.240898881,
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,2.918885603,2.893466071,2.866351841,2.85035919,2.861051618,2.905692622,2.952802356,3.012690892,3.08090655,3.156091188,3.239622687,3.317733023,3.401626591,3.482366092,3.546098896,3.587275499,3.60228989,3.593296255,3.57448648,3.559424284,3.55245943,3.528939699,3.521770346,3.503672866,3.431010268,3.285313229,3.046743332,2.740961323,2.446986878,2.270704771,2.260932029,2.352162212,2.565314587,2.835093846,3.078315117,3.254197593,3.37073868,3.44867232,3.497661698,3.524100235,3.530841047,3.50231214,3.447537582,3.390929193,3.366983889,3.394316983,3.44495389,3.534612088,3.656995694,3.803655065,3.967411645,4.126965278,4.30580379,4.475824806,4.599929666,4.660183983,4.656063509,
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,4.02189162,4.046850113,4.077878088,4.1218325,4.187429383,4.278160943,4.33012412,4.401785689,4.488194078,4.582316992,4.680520528,4.728535554,4.781136729,4.841899025,4.912958719,4.993116634,5.037084327,5.082063651,5.129781754,5.181483783,5.233878867,5.230912266,5.249463353,5.253491579,5.186440593,5.02128646,4.701197632,4.276987118,3.858327689,3.610104078,3.618559431,3.809752007,4.238045345,4.769550771,5.209956894,5.449851788,5.470739388,5.333462002,5.101920431,4.864843094,4.671345517,4.468430551,4.283334246,4.128905143,4.027027417,3.991916252,4.002748947,4.078297731,4.202695753,4.355269722,4.522229127,4.696351754,4.89591355,5.089195841,5.233799884,5.306691112,5.294265511,
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,3.939738039,3.998876488,4.090098267,4.201771601,4.321325048,4.443051674,4.522792685,4.607500604,4.687037287,4.746757727,4.780024711,4.750807296,4.697516379,4.634742535,4.577960446,4.532590016,4.475725242,4.439777666,4.394410136,4.290132085,4.103507775,3.806791912,3.426357093,3.053397868,2.816792638,2.781429476,2.887798146,3.15870803,3.510629998,3.830387653,4.057330138,4.181314428,4.242362497,4.255472728,4.240357335,4.204957039,4.144975178,4.066259366,3.99265644,3.956091011,3.97497296,4.022721632,4.109277724,4.228434656,4.373420243,4.538193481,4.707564169,4.902787595,5.093621534,5.235830588,5.305123014,5.288119574,5.211040804,5.100399556,4.994701251,4.918077546,4.867122395,
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,5.142709337,5.206170999,5.297394435,5.404097679,5.51081972,5.609085493,5.648667203,5.686422968,5.72588111,5.772652219,5.827995211,5.839977985,5.855760248,5.873429282,5.890962621,5.904828169,5.895921009,5.904672632,5.892744768,5.80079763,5.59998224,5.258464418,4.794188608,4.325832194,4.035327958,4.022711565,4.22430189,4.692030276,5.276289015,5.754141151,5.997469029,6.033997028,5.877305055,5.597722729,5.306028778,5.063773446,4.834111164,4.638576598,4.486385638,4.389684264,4.357610829,4.365560932,4.43726672,4.558312991,4.708915927,4.874720536,5.047560309,5.245932058,5.440315178,5.585928093,5.655853926,5.649592227,5.573406244,5.455714427,5.341428819,5.259016287,5.201144013,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,5.501363242,5.601148372,5.711166128,5.814007411,5.885663534,5.913901219,5.851058265,5.752731195,5.637482767,5.529370337,5.438355877,5.31947862,5.231835423,5.139589445,4.986403324,4.746340096,4.407445638,3.974095034,3.543578421,3.259256627,3.197813358,3.308762786,3.61304847,4.018403556,4.394299485,4.668293334,4.823165214,4.912260553,4.9508295,4.961463502,4.957545611,4.88760212,4.774263808,4.640724518,4.527264252,4.460759197,4.491402533,4.579419132,4.715000733,4.881511138,5.065795051,5.244834559,5.443867996,5.634161986,5.775088471,5.842935012,5.828113725,5.748879536,5.630991793,5.513875764,5.424869994,5.345822251,5.289078477,5.268996567,5.304479722,5.404420037,5.570558305,
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,6.309275796,6.359143987,6.404981457,6.445682737,6.482675204,6.517058827,6.516164745,6.512048672,6.50316527,6.49036027,6.472283077,6.424380698,6.397518777,6.350647741,6.220344872,5.977130771,5.618944073,5.127988827,4.628131956,4.309324743,4.277824492,4.490176521,4.983015346,5.60479543,6.122511309,6.398879742,6.428046144,6.257698774,5.960704996,5.655246131,5.414015347,5.198756514,4.997846052,4.817693774,4.67204177,4.574032863,4.583259703,4.669915561,4.81696447,4.996354672,5.187036827,5.366937249,5.563730172,5.749854346,5.886411263,5.949858037,5.936668488,5.852954779,5.726600827,5.602394009,5.511303659,5.447124679,5.408035998,5.403458854,5.446087585,5.542040415,5.700777535,
