Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.178390259,0.196148088,0.207790589,0.21122878,0.204763227,0.186661099,0.202726743,0.2123674,0.214257429,0.207365584,0.190160368,0.205582013,0.215131238,0.21682789,0.209341833,0.191734432,0.205377236,0.211517906,0.208882074,0.196713953,0.173921227,0.191639779,0.202541711,0.202336831,0.187015293,0.152473879,0.164926173,0.173043717,0.174485511,0.166999314,0.148915885,0.155873526,0.161907557,0.167165807,0.171987737,0.176792526,0.188490373,0.195357277,0.197398675,0.194976162,0.187784044,0.197547918,0.203172664,0.203986816,0.199816694,0.190728127,0.202571692,0.210455106,0.213534419,0.21122612,0.203552013,0.21173827,0.216005778,0.21635402,0.212734201,0.205225817,0.217420997,
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.172211275,0.188274308,0.199167411,0.203640041,0.200068816,0.18721533,0.202636004,0.21250436,0.215653738,0.211066757,0.197892558,0.212314756,0.221274004,0.223873688,0.219146897,0.206579367,0.221811466,0.229685854,0.228660316,0.217558391,0.195518208,0.21332697,0.222437991,0.218755352,0.198307242,0.156913137,0.172060352,0.183495172,0.188240085,0.183812232,0.168429233,0.180517711,0.191607187,0.201997992,0.211990126,0.221885933,0.237408487,0.247567345,0.252535204,0.252736401,0.248215435,0.260447776,0.268193392,0.2705168,0.266874548,0.257661209,0.269519481,0.276556447,0.278688376,0.276267518,0.269708868,0.280649346,0.287561097,0.290298676,0.288852933,0.283565006,0.299185182,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.423348863,0.433297808,0.43681313,0.434246884,0.42653669,0.414861308,0.423877945,0.427976187,0.426189783,0.41785311,0.403899142,0.406042093,0.402648465,0.395447791,0.386392509,0.376717761,0.381879045,0.383560703,0.380941083,0.372906375,0.359450066,0.363061786,0.359625875,0.350250721,0.334510006,0.310032436,0.315306985,0.316265224,0.313371431,0.306677812,0.29570987,0.302971573,0.309472746,0.316054271,0.324689029,0.33681547,0.344029097,0.349465324,0.35288161,0.353894541,0.352440593,0.350936106,0.347696458,0.342293485,0.334654891,0.326210174,0.326634523,0.325254758,0.324065447,0.324718575,0.327537565,0.331092855,0.334712341,0.338416675,0.342271986,0.346798738,0.356440343,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,0.390845519,0.399713904,0.404578799,0.405271969,0.401848524,0.395227775,0.402768336,0.40617822,0.405695943,0.402107204,0.396427148,0.402824792,0.405755905,0.405589125,0.402927814,0.399009905,0.403627518,0.404081576,0.40113851,0.395135556,0.386582699,0.391731143,0.390701181,0.383888223,0.369759849,0.345639086,0.354834827,0.358905681,0.359357777,0.357086684,0.352089658,0.364654626,0.375610212,0.385116004,0.394720364,0.406269678,0.412840864,0.418348074,0.422201992,0.423207789,0.421277807,0.415882001,0.408569554,0.400817804,0.394088958,0.389611248,0.391694826,0.393669161,0.396475305,0.400793326,0.406933804,0.411471806,0.417135592,0.423423942,0.429340753,0.43503132,0.441214471,
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,0.876422267,0.877570267,0.875537551,0.869615589,0.858236487,0.841358276,0.831947011,0.817168799,0.800729704,0.785737088,0.773047451,0.769819646,0.766171497,0.760956729,0.752433449,0.74062093,0.733334672,0.720432036,0.704692689,0.689127196,0.675111823,0.676324328,0.671869338,0.660198705,0.639859352,0.609795815,0.61309879,0.613908589,0.612116146,0.60775519,0.600082834,0.609363332,0.621224705,0.633892636,0.647058423,0.662511487,0.662102534,0.659713867,0.655347155,0.647529361,0.635624344,0.614644944,0.594485472,0.578562483,0.57009875,0.570179639,0.576538704,0.584476961,0.59343102,0.602785854,0.612372524,0.616517957,0.622213212,0.629880524,0.639689839,0.651756435,0.664639546,
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.797219039,0.79636314,0.794441228,0.791995873,0.78893268,0.78518915,0.785204422,0.783321151,0.780650332,0.778014576,0.77553778,0.775076544,0.773416254,0.771626329,0.77029152,0.76989982,0.769333809,0.765676557,0.759902368,0.753040889,0.746059151,0.746652192,0.740831207,0.728432432,0.709562539,0.684391757,0.693369385,0.701606502,0.708091526,0.711482501,0.710382139,0.716997634,0.725283749,0.733430421,0.740383997,0.747607478,0.739819477,0.729692314,0.719762005,0.71153922,0.70520762,0.690637282,0.67945146,0.672527969,0.670652105,0.674128521,0.679709254,0.687758753,0.697317655,0.706937336,0.716255761,0.716027268,0.715345361,0.719216738,0.733589353,0.760274032,0.792336314,
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1.447146347,1.423152072,1.394785499,1.365725826,1.340566753,1.321383203,1.307867321,1.297723302,1.287685116,1.273987304,1.256069942,1.23467803,1.210726904,1.187520009,1.169073978,1.157392105,1.147568295,1.137955491,1.127823461,1.117004069,1.10668643,1.101469575,1.09081177,1.075035115,1.054256228,1.027952437,1.033614971,1.040185769,1.043875733,1.038440254,1.018687396,1.012015357,1.010469929,1.013057647,1.018965163,1.028854529,1.004135877,0.97585967,0.949332935,0.929528443,0.917909282,0.906815565,0.905266293,0.911208226,0.922338793,0.936870193,0.946253713,0.955433122,0.96481812,0.975218348,0.9875932,0.993494753,1.003199382,1.015819411,1.029802282,1.044203081,1.055074836,
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1.302603689,1.292636638,1.285464905,1.280399446,1.276368075,1.273270773,1.266555792,1.26043943,1.255215843,1.251437274,1.24950403,1.242494024,1.236819494,1.232591527,1.230082283,1.22994674,1.222029335,1.212742556,1.203016203,1.194561392,1.189250138,1.184037209,1.176723347,1.167688832,1.15627516,1.140664492,1.147768017,1.156035573,1.161312599,1.156621285,1.136521139,1.116453521,1.098521344,1.085646793,1.081373732,1.087308951,1.071214991,1.057264945,1.046802155,1.040429215,1.03790228,1.028703769,1.027313236,1.031398576,1.037985754,1.045717284,1.046642912,1.044941276,1.047075494,1.061743648,1.092315918,1.124508213,1.171233268,1.220616927,1.257426127,1.275082097,1.272463082,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,2.00141654,1.973428236,1.954295211,1.939262139,1.921956634,1.899320344,1.862735859,1.824316812,1.788923125,1.761587867,1.743603697,1.722499173,1.708834724,1.700664097,1.695533174,1.692291945,1.676797844,1.660635454,1.645487086,1.633797719,1.627411066,1.618686218,1.609215686,1.598638255,1.582221919,1.551940154,1.534923716,1.512694185,1.481065191,1.434326178,1.368737045,1.346263641,1.329726617,1.322527454,1.330465755,1.355318963,1.33960709,1.331443402,1.331045749,1.336919369,1.346526604,1.35162465,1.361223346,1.371439061,1.38042638,1.389533362,1.394694293,1.401458717,1.411360626,1.424604297,1.439879949,1.441937555,1.447146848,1.454417218,1.463026834,1.473568291,1.483630591,
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,1.872055719,1.852840024,1.840362477,1.833192226,1.82904973,1.826944881,1.812820947,1.801687994,1.793540185,1.788420916,1.786077558,1.771307596,1.759903454,1.751979162,1.747561531,1.746895858,1.731709619,1.717976761,1.706950487,1.70024137,1.699369753,1.692344046,1.686404475,1.680215017,1.668056021,1.641846371,1.617920639,1.587081314,1.549302134,1.505427044,1.455205833,1.439985131,1.435093913,1.438397116,1.450099535,1.470585205,1.460762508,1.456627378,1.457214281,1.459502496,1.461457764,1.451995366,1.442312664,1.438237037,1.448875156,1.477818957,1.516729454,1.571649673,1.629166805,1.671356382,1.689725273,1.673926542,1.643442882,1.608432994,1.581912629,1.570380236,1.568098872,
