Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.944664641,0.979803122,1.000565046,1.009242775,1.007122544,0.992069767,1.032650996,1.054878739,1.054716134,1.028998976,0.977108591,1.009456996,1.026550528,1.029373167,1.017280507,0.988305123,1.024644862,1.046663852,1.055353341,1.051855543,1.036099863,1.090652947,1.131661475,1.158750149,1.173625275,1.178237897,1.243598251,1.297950591,1.341793875,1.376403995,1.402254806,1.500596182,1.58815524,1.659637465,1.710258155,1.739907416,1.817398293,1.866579418,1.892765575,1.909198802,1.928681258,2.053085442,2.178846994,2.300080932,2.410486212,2.507592743,2.6354396,2.743663164,2.829569432,2.89012933,2.927203145,3.004347571,3.065715816,3.12036501,3.172961972,3.224820893,3.306966935,
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1.617319124,1.673134122,1.717035936,1.754567203,1.78788231,1.81543095,1.869258606,1.8983335,1.903461519,1.88768608,1.854845718,1.922283672,1.983288854,2.040871328,2.09220552,2.131942456,2.204429904,2.258946903,2.298386263,2.324069501,2.337307898,2.405234734,2.454797954,2.492504415,2.525357109,2.557359092,2.623307704,2.680356401,2.732983828,2.785206627,2.839909225,2.962049409,3.079927811,3.191248631,3.289983587,3.372942141,3.465286552,3.531530847,3.585139685,3.643809585,3.719428221,3.84608054,3.975421366,4.102365344,4.217929598,4.318199259,4.40584968,4.471431822,4.519318169,4.552608871,4.576282329,4.597948047,4.607401441,4.61723555,4.632647573,4.65408313,4.673993478,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1.278380098,1.312639456,1.34678543,1.37016777,1.374016035,1.35986285,1.334579469,1.298359626,1.25696271,1.216715348,1.182408886,1.18810553,1.188421529,1.185862466,1.187393816,1.199528519,1.230652378,1.269243208,1.310411513,1.348948843,1.384384009,1.426402601,1.462174037,1.497899096,1.540625684,1.593195946,1.644769487,1.7023107,1.756329553,1.795114924,1.817403851,1.831365577,1.830613538,1.831722778,1.854254581,1.905838944,1.951232332,2.026713605,2.1272245,2.235150239,2.335366831,2.397798942,2.444520638,2.477268523,2.495459486,2.499256739,2.455743236,2.401382539,2.350638467,2.320818504,2.319803295,2.341288025,2.382604464,2.433543703,2.487264527,2.545057083,2.583086183,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1.813191756,1.857014896,1.904975665,1.947552563,1.979906793,2.005678895,1.987848081,1.971394273,1.956489495,1.942779271,1.932164882,1.959323343,1.974660998,1.974447901,1.967069499,1.96806733,1.967184154,1.981008611,2.00435837,2.033132925,2.067973942,2.101948752,2.137140078,2.177776219,2.231840772,2.303377755,2.355693094,2.42403622,2.493149666,2.545051388,2.575014113,2.583911267,2.569946904,2.549315275,2.549258925,2.586106187,2.635003764,2.723370896,2.832631896,2.933515566,3.007655805,3.020671481,3.012302128,2.98821609,2.956062575,2.92030943,2.852305179,2.783581723,2.721793517,2.678634687,2.659565377,2.650211911,2.66009753,2.679259744,2.704229493,2.739043616,2.769593707,
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,2.214657125,2.182264748,2.137275011,2.090889015,2.052078914,2.024207453,1.97581706,1.933162742,1.900378773,1.882859288,1.884658252,1.909270089,1.942422076,1.983655103,2.030403012,2.081645068,2.118667462,2.15745643,2.201192704,2.25323306,2.315480312,2.378755644,2.448196296,2.514439895,2.564695867,2.594114948,2.576111767,2.545232919,2.523006554,2.532619163,2.581648548,2.644435853,2.730110055,2.825824381,2.914955581,2.988446274,3.044017885,3.096862753,3.140296058,3.167749167,3.177282297,3.132656609,3.072637426,3.013786525,2.976495818,2.970240961,2.95759637,2.973863345,3.010040247,3.055148427,3.104956221,3.148738583,3.196508135,3.263067637,3.362258921,3.492465616,3.624719746,
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,2.823056289,2.827672113,2.830912952,2.836166464,2.841577898,2.843755573,2.785927405,2.735356933,2.695189549,2.664400835,2.639342427,2.609952595,2.588266296,2.591972846,2.627518585,2.685388901,2.700266651,2.728329284,2.772396729,2.833946962,2.911017437,2.98374484,3.068719744,3.155238168,3.226281446,3.271096797,3.244052683,3.199654113,3.160199751,3.151880067,3.184312666,3.227973058,3.303880506,3.396482674,3.479800822,3.536197856,3.554264101,3.551820059,3.531228934,3.498485645,3.458520012,3.383489333,3.304085012,3.230794719,3.178260028,3.154721311,3.135774751,3.141247422,3.161742648,3.189299484,3.224037584,3.258433062,3.303613171,3.370123888,3.46812744,3.597207756,3.74531597,
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,2.883742476,2.827853605,2.786484577,2.760307026,2.749210471,2.752978752,2.733666569,2.734915153,2.755960067,2.79005225,2.828001876,2.856794781,2.884750572,2.920818483,2.973393899,3.042649502,3.090854593,3.162276323,3.242788591,3.307634129,3.341815582,3.325382766,3.276176291,3.22416041,3.209025714,3.248112875,3.299889031,3.392542854,3.501625515,3.597535652,3.667216582,3.707990788,3.734434165,3.744820376,3.738131027,3.71612134,3.675218403,3.617377696,3.554845843,3.50915781,3.496295284,3.491359177,3.52110705,3.574225972,3.634430873,3.693087344,3.723381886,3.750504668,3.793767617,3.880105931,4.018691285,4.188567453,4.393621896,4.591583401,4.734875357,4.808441006,4.844767415,
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,3.606566457,3.559345913,3.515601772,3.475236076,3.437454041,3.402355167,3.327855538,3.258220727,3.197544306,3.159647327,3.157011296,3.204200431,3.26394381,3.323270802,3.381272518,3.446988506,3.511772526,3.605461976,3.706654535,3.786261135,3.830127567,3.831438911,3.791641915,3.736303023,3.706681713,3.726142989,3.761144467,3.841080996,3.936635375,4.011186647,4.048674594,4.056804403,4.038999103,3.997684447,3.942405891,3.882737759,3.809047598,3.729180772,3.651983463,3.591766189,3.559709861,3.543207498,3.561934171,3.606609204,3.662345916,3.72061418,3.749028519,3.779626793,3.831330254,3.925245667,4.064818406,4.225456842,4.422400434,4.622806131,4.784276603,4.887121934,4.951685574,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,3.568737362,3.554362859,3.559881889,3.581723159,3.615906848,3.660509231,3.681080821,3.699808571,3.712137922,3.723460639,3.742862117,3.799619798,3.869826428,3.936411138,3.980345056,3.996385291,3.970909,3.923319498,3.871716771,3.847880483,3.871113942,3.934869267,4.037558185,4.156925064,4.264046803,4.342078137,4.362674535,4.372913986,4.369726686,4.345401718,4.296200688,4.216325252,4.117715071,4.022096699,3.955058372,3.926156746,3.912669084,3.939396707,4.001132731,4.081212627,4.164758017,4.213111844,4.254822371,4.311649509,4.415586216,4.579673833,4.771060659,5.011674847,5.254677652,5.438160705,5.531870615,5.530749768,5.470320758,5.390555402,5.336098185,5.323783766,5.334395421,
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,4.053500941,3.98151723,3.918418754,3.868038299,3.836191818,3.82628666,3.808128213,3.824799694,3.875603456,3.949022952,4.027673935,4.081784086,4.145224202,4.217031437,4.282298872,4.325126045,4.308461278,4.26699556,4.221046154,4.200512417,4.220151375,4.264420176,4.344580293,4.443018376,4.528254106,4.576653548,4.554132625,4.511962345,4.45549505,4.388067576,4.310561663,4.2127066,4.106634982,4.009921935,3.941136955,3.906003377,3.878978765,3.889002805,3.931565385,3.992263488,4.058531441,4.11183897,4.164060486,4.233594911,4.347698193,4.516707111,4.706870465,4.938314831,5.170121346,5.35149104,5.458840406,5.503181994,5.494821443,5.460505961,5.437494875,5.445878958,5.483477172,
