Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.27261521,0.312485848,0.352951366,0.377069219,0.394246771,0.389915203,0.399226837,0.394528289,0.379466119,0.354237527,0.330714553,0.3490701,0.365573142,0.378837532,0.376350156,0.373138805,0.395510667,0.410729346,0.414976893,0.41545952,0.410201707,0.421655632,0.418925579,0.412462776,0.39497618,0.373584301,0.388035703,0.407606528,0.431886732,0.455227199,0.466789776,0.470216086,0.454457284,0.427560813,0.394084133,0.356570487,0.360666507,0.372257784,0.386298938,0.39604796,0.39939794,0.409850361,0.417447363,0.428265525,0.442100661,0.460831965,0.478009455,0.489019155,0.501091334,0.511410725,0.522271282,0.539016013,0.54984183,0.55457368,0.554529522,0.551371455,0.574586041,
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.513079742,0.516508979,0.512205251,0.496644888,0.460109751,0.419405573,0.452349329,0.475691957,0.492369154,0.497903126,0.479635413,0.49219925,0.495415236,0.495371459,0.493388331,0.487667875,0.503678831,0.511591685,0.516112496,0.50316176,0.485549133,0.492479275,0.49398314,0.494716667,0.480614876,0.463518017,0.467525324,0.473030155,0.487454328,0.503218749,0.520786494,0.526579142,0.523838914,0.516962359,0.504602498,0.487220166,0.482309621,0.478389752,0.47406438,0.470083605,0.461420616,0.464601638,0.468820243,0.476275286,0.489996148,0.514091362,0.54007094,0.556371689,0.56767871,0.572928715,0.581398441,0.612646665,0.641947465,0.670665879,0.699409388,0.731553106,0.781299471,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.711170112,0.67931706,0.634446321,0.594609153,0.576511609,0.569730466,0.545549795,0.542691751,0.558521561,0.581513817,0.59708193,0.587982833,0.575058875,0.572844296,0.582088242,0.602301223,0.590399982,0.573925806,0.553302524,0.529132464,0.50329713,0.493966286,0.489202855,0.490688475,0.496318753,0.507669863,0.528319223,0.53204218,0.513301646,0.479345196,0.439676398,0.420344683,0.412891069,0.411375545,0.413163331,0.417071617,0.437094961,0.444347772,0.438336037,0.417749218,0.378065113,0.383108352,0.396945174,0.421016238,0.456309088,0.492483986,0.500168833,0.511365408,0.528758954,0.551838451,0.578086534,0.587168766,0.598286044,0.613804633,0.627555924,0.641097164,0.648474502,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,0.760773411,0.745800348,0.742928337,0.759314851,0.78092022,0.812598298,0.785355431,0.749352581,0.704385765,0.664984712,0.642169673,0.645631732,0.65041357,0.651731725,0.649893232,0.640861972,0.630833045,0.613430779,0.594170142,0.56775685,0.533993944,0.522391249,0.506410389,0.48668881,0.472831639,0.473902331,0.507860842,0.53449735,0.541134911,0.520048807,0.483996239,0.465422891,0.449004783,0.435297291,0.429711926,0.432927904,0.441320135,0.444644417,0.433650232,0.400880316,0.344697614,0.349194829,0.368400465,0.412503806,0.479799696,0.550452557,0.553351373,0.567334678,0.597556537,0.648243288,0.712252985,0.745990498,0.784717409,0.820890962,0.844304953,0.850103237,0.831470197,
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,0.948226816,0.964630225,0.978736304,0.984109226,0.968777241,0.946396124,0.953808913,0.957894011,0.941273101,0.915374849,0.89936401,0.925608011,0.951585519,0.967412107,0.9647109,0.961042389,0.927443855,0.895937613,0.864535194,0.827901175,0.784522886,0.7869653,0.794954639,0.808924841,0.826331745,0.84330542,0.812988121,0.776925163,0.749792586,0.725047294,0.699818267,0.696774745,0.69484856,0.697989655,0.708561955,0.729875329,0.717543173,0.686097819,0.634240411,0.57086365,0.518506228,0.584836118,0.649236009,0.694816203,0.71697907,0.726387056,0.762915752,0.804465093,0.844374763,0.872733521,0.886565468,0.8942654,0.903484592,0.91855744,0.941333886,0.976290098,1.009197048,
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.263743207,1.264722919,1.25974805,1.242715875,1.222034614,1.211840142,1.154934457,1.118518927,1.103888139,1.106080099,1.115431194,1.098333511,1.074848261,1.047475404,1.029218669,1.020017362,0.993778085,0.956089379,0.905235687,0.844269169,0.776218002,0.774506452,0.790165904,0.817837898,0.842535389,0.848681664,0.799376633,0.738497172,0.68572616,0.657213784,0.651596288,0.661599435,0.681222034,0.707264445,0.728547123,0.741054116,0.688623368,0.611386073,0.527308418,0.461978715,0.434671595,0.559782512,0.677833502,0.75663999,0.785693245,0.782604804,0.844414195,0.919794773,1.002265283,1.068391012,1.099497327,1.077250177,1.039220352,1.003198012,0.995216942,1.028916353,1.08670768,
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1.659396928,1.607717042,1.550387597,1.514492303,1.50368492,1.51612659,1.481294145,1.464406312,1.471868583,1.48748413,1.497942387,1.472103004,1.439016375,1.418346748,1.420094589,1.440963682,1.381421316,1.322000854,1.261697423,1.194068888,1.123933282,1.142883974,1.158206013,1.167162985,1.171935903,1.180627588,1.152621907,1.124706858,1.091735223,1.053655007,1.009790128,1.020938865,1.044697537,1.075645893,1.107251411,1.133430736,1.066840157,1.020446212,1.007070924,1.025384444,1.054789812,1.072587115,1.082060014,1.098545682,1.12738401,1.170051823,1.2029377,1.222288048,1.229159622,1.225970771,1.210991618,1.250988851,1.300242706,1.366610939,1.461941466,1.592747559,1.739820832,
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,1.76924049,1.740200811,1.709658068,1.677556066,1.644153651,1.615114732,1.576485534,1.561151211,1.559461022,1.572237724,1.593473134,1.558630957,1.535497516,1.524858515,1.519954375,1.530664352,1.451780159,1.374228719,1.297853997,1.214841005,1.108725571,1.088582172,1.049066921,1.000471637,0.960256847,0.943084519,0.940550947,0.961204401,0.990493342,1.009803509,1.011323223,1.010269485,0.995216788,0.979231599,0.982302558,1.017451084,1.002876096,1.034856946,1.096313973,1.158999233,1.207353549,1.216530538,1.205037336,1.195571617,1.208279519,1.255300343,1.323616483,1.351736537,1.330921378,1.278733854,1.226096439,1.293015198,1.397179776,1.529749659,1.680086637,1.839996839,1.998548459,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,2.135880903,2.123998007,2.12203889,2.113245074,2.100007925,2.083964264,2.052134328,2.01915788,1.986036961,1.957710936,1.945379723,1.957081545,1.97710718,1.997745327,2.017236837,2.040865298,1.942014697,1.853210808,1.764699718,1.672903589,1.574864236,1.580504296,1.586258511,1.602737899,1.637072326,1.687454145,1.651407757,1.611282166,1.556963301,1.484010521,1.39523977,1.410648257,1.418100701,1.419582825,1.42304504,1.433361868,1.437612906,1.454229072,1.468058404,1.46483492,1.445891653,1.463834339,1.497798862,1.558038901,1.64981693,1.769294321,1.801240925,1.819400705,1.827599988,1.834408037,1.857352164,2.028803208,2.2313405,2.453785527,2.685958201,2.919572292,3.138194368,
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,2.274737773,2.227746669,2.16879701,2.103567014,2.049387927,2.016372948,2.01921041,2.036843169,2.05883899,2.07014085,2.068328128,2.043234539,2.022221257,2.011927659,2.018647957,2.043864576,1.929534344,1.793566165,1.632220332,1.44828993,1.258464079,1.255234595,1.276899816,1.319578939,1.368876782,1.415098793,1.419076867,1.402164714,1.372318135,1.348929188,1.339982831,1.393091726,1.47816695,1.576360585,1.652682246,1.672483695,1.615668914,1.560225498,1.52354926,1.514367476,1.521654549,1.505642441,1.530817779,1.610948012,1.748691455,1.916514696,1.908508884,1.907011928,1.935539947,2.001753754,2.097928136,2.281544479,2.472092614,2.666877152,2.866325067,3.066496745,3.252816624,
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.844680448,2.785199946,2.71534364,2.658130814,2.638877883,2.649909146,2.619361598,2.615257391,2.636550308,2.66618599,2.693602694,2.6981402,2.695930774,2.700364418,2.72226613,2.760747237,2.618395258,2.478614692,2.336864829,2.196000322,2.06458495,2.114851857,2.182246317,2.253433486,2.314421828,2.36041187,2.24699744,2.120989742,1.998929975,1.89552385,1.8187947,1.85664109,1.900961565,1.942232083,1.96976276,1.990744614,1.985876527,1.964452178,1.941902109,1.929000717,1.933583797,2.085876731,2.26036642,2.44245182,2.62528007,2.799326187,2.858032247,2.937233014,3.03831453,3.157910695,3.288614685,3.536279168,3.78155535,4.016718414,4.23788704,4.441190144,4.60999743,
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,2.775180083,2.712878934,2.655622722,2.617870387,2.612916843,2.61926846,2.60052742,2.584164417,2.561721365,2.547994186,2.549557014,2.571892992,2.601654281,2.627682686,2.652625436,2.682173314,2.483827959,2.290780567,2.104061328,1.92312051,1.73850812,1.777625844,1.810235911,1.848413997,1.902028506,1.98245995,2.003025164,2.039998218,2.07795806,2.098708293,2.090504026,2.099962671,2.049837988,1.935986574,1.78501316,1.642869734,1.644361555,1.656829791,1.666602517,1.688934332,1.747197432,1.956561829,2.187049352,2.398037447,2.573471099,2.726530247,2.828732217,2.962199614,3.110010158,3.261658965,3.413388654,3.62443237,3.829441645,4.025013749,4.206483701,4.370548196,4.504162222,
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,3.321164423,3.330917984,3.358451345,3.383263928,3.397654331,3.405133253,3.388911971,3.385362828,3.393839836,3.412279189,3.44332211,3.460658083,3.479106194,3.502608604,3.54270947,3.598209894,3.40597737,3.23983308,3.089272428,2.940407211,2.773467804,2.800394422,2.805614881,2.808124806,2.826331745,2.868081733,2.772855549,2.712856755,2.677387589,2.646950204,2.609479423,2.616823762,2.616593233,2.635501035,2.705298754,2.828105993,2.898596496,2.98365546,3.082432887,3.190084936,3.301255081,3.547967026,3.778667472,3.983761599,4.153232417,4.280533471,4.383336147,4.502510056,4.637912837,4.778557134,4.906260278,5.094364654,5.2547439,5.395271077,5.530689935,5.668526267,5.789918126,
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.285732339,3.280073373,3.269346131,3.249161222,3.229210637,3.226196717,3.212642683,3.226991386,3.262602723,3.306544586,3.346293581,3.358804138,3.363608709,3.374891032,3.401992122,3.448143798,3.215890573,2.989276942,2.763473682,2.555472451,2.382603909,2.495513204,2.628363124,2.76057921,2.862285353,2.926488497,2.875739103,2.806111086,2.728185769,2.640636176,2.548338307,2.393830367,2.249652831,2.156257492,2.137653235,2.182971973,2.293361753,2.446867639,2.649371977,2.880353124,3.114437176,3.339064015,3.542716355,3.735514969,3.914870958,4.069097459,4.215430756,4.363817751,4.519700353,4.673269244,4.802255379,4.952095966,5.070402135,5.179964557,5.310497659,5.478991929,5.66539535,
