Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.488778064,0.523477248,0.549670614,0.566555845,0.57481798,0.574976387,0.624314619,0.663670654,0.689711387,0.700679795,0.697160286,0.746862149,0.782568586,0.802009718,0.804504112,0.791109283,0.842236765,0.877288413,0.895437317,0.898031743,0.886768277,0.9421551,0.984166954,1.009353214,1.015269545,1.002154905,1.062653521,1.103449953,1.123418798,1.123742549,1.106136552,1.161990555,1.202160043,1.223817684,1.224894587,1.206104782,1.25996867,1.296470629,1.315971491,1.320461414,1.311647253,1.378078908,1.42763938,1.459152456,1.473689189,1.472877568,1.540464896,1.592899687,1.626677544,1.638538879,1.62807638,1.68618857,1.724885092,1.743675594,1.743050019,1.724440149,1.771934151,
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.745097564,0.779458773,0.806368159,0.826739161,0.842633891,0.855839971,0.908612268,0.953789405,0.98952658,1.014681137,1.030222292,1.085509025,1.128389552,1.160020354,1.18252947,1.198250751,1.262843926,1.314851823,1.354892048,1.385114589,1.408441509,1.480710942,1.542797631,1.594628005,1.636095203,1.668701268,1.75780975,1.828589908,1.883153743,1.925395473,1.958784923,2.049894484,2.127867733,2.191600384,2.239358319,2.272771195,2.36856068,2.447326717,2.512516642,2.568323105,2.618316858,2.726654782,2.818101427,2.895312025,2.962183858,3.022666423,3.135628061,3.235595839,3.321280474,3.390180737,3.443359882,3.52713793,3.589417732,3.634060166,3.665257182,3.687591188,3.739365226,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.856650887,0.89332602,0.930074134,0.966160875,0.998852059,1.026321734,1.049108361,1.068284904,1.087951096,1.109539062,1.131944486,1.148507689,1.161827746,1.17650874,1.195307179,1.217785678,1.243579719,1.267662239,1.29177272,1.315892307,1.339275279,1.350710617,1.361011435,1.372252772,1.383758528,1.394339146,1.404366064,1.408794784,1.411508916,1.414768191,1.41902593,1.419557138,1.417334922,1.418368561,1.427582931,1.446390077,1.470551443,1.497174534,1.526018694,1.555585802,1.584782313,1.608383323,1.628419377,1.645605939,1.65853176,1.666601389,1.663623951,1.654967688,1.644786953,1.63611353,1.630714772,1.625176896,1.618790314,1.61527506,1.618401412,1.630155385,1.643081889,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,0.999963835,1.034158352,1.072872731,1.114917988,1.157293562,1.19840242,1.221002625,1.242848686,1.269087459,1.303718688,1.347375323,1.378258746,1.413862534,1.454511172,1.49894721,1.545960108,1.577261349,1.608891072,1.644510137,1.68727909,1.738007303,1.768000803,1.805606249,1.84971235,1.896706376,1.943961505,1.97084304,1.995999383,2.021977775,2.049926353,2.079539945,2.083598989,2.088984397,2.101142854,2.125102333,2.162440973,2.188481234,2.222734863,2.263913373,2.30990319,2.358702213,2.384956279,2.412808819,2.440604162,2.464837019,2.483394288,2.47086642,2.454150365,2.437335181,2.424259434,2.41692596,2.3943567,2.375689308,2.364298026,2.364509683,2.378377769,2.383257668,
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1.606406641,1.6397137,1.667373144,1.691384901,1.714951623,1.740813274,1.768303355,1.795225003,1.822523359,1.85267177,1.887331085,1.919271655,1.953020255,1.985416477,2.013718651,2.037709691,2.060711211,2.078889349,2.093533586,2.10763119,2.124029095,2.123088881,2.127755444,2.134605455,2.139526204,2.142106444,2.138953383,2.129567464,2.121207926,2.123694144,2.141556738,2.158151918,2.184555537,2.21669183,2.249734909,2.282004474,2.304846609,2.328544896,2.350265972,2.365992119,2.374222775,2.362416309,2.344094994,2.324126506,2.307906162,2.298282252,2.275445184,2.25812954,2.248498051,2.248584365,2.25962909,2.265730775,2.27833291,2.299240226,2.330971272,2.374468904,2.411581781,
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.672958998,1.705903192,1.736877906,1.770155786,1.811488862,1.863743718,1.906627952,1.958495803,2.016375194,2.076992179,2.139032064,2.18115938,2.22495843,2.271401989,2.322007423,2.377440336,2.418818868,2.462978686,2.508636213,2.555753927,2.605196297,2.628020109,2.65934203,2.694150462,2.725753352,2.751631457,2.756053278,2.753547486,2.751887832,2.762108424,2.789144288,2.804706387,2.83476598,2.874751329,2.91899393,2.964502921,2.991045163,3.021981131,3.052129937,3.074961868,3.086954711,3.068807838,3.043071091,3.014745531,2.990419684,2.97354303,2.937971613,2.910742858,2.893243684,2.887525715,2.894843942,2.896178677,2.909710655,2.934563436,2.970163119,3.015701848,3.050471555,
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,2.432812117,2.458450822,2.484478904,2.514300112,2.551768463,2.598644247,2.641202799,2.688136918,2.735880542,2.779775537,2.81788739,2.838246544,2.853897775,2.866214262,2.876248141,2.884641265,2.890186699,2.894327239,2.898536671,2.903932061,2.911553318,2.888396964,2.871220404,2.863254605,2.867860224,2.886172122,2.905404149,2.929856823,2.958555347,2.990154986,3.022831702,3.034641651,3.049947795,3.065155967,3.074089828,3.073997453,3.051968692,3.024875851,2.996473133,2.97146195,2.952514828,2.922202395,2.895672146,2.876251225,2.868277011,2.87401215,2.871401266,2.881837512,2.904886923,2.94011457,2.986962376,3.025657883,3.073985471,3.128486063,3.18475693,3.2401274,3.274116936,
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,2.36150392,2.413326699,2.47473971,2.543119413,2.614709737,2.687217938,2.741627513,2.798266259,2.858281805,2.922769629,2.99144516,3.041692058,3.096035247,3.152223874,3.206472941,3.255785007,3.284547881,3.311752916,3.337522371,3.361549728,3.383386309,3.371596303,3.364079349,3.363671686,3.373555638,3.394692861,3.41292238,3.436601478,3.465690892,3.500180947,3.538017242,3.556008389,3.580798123,3.605930533,3.622157004,3.624999811,3.600526521,3.567956683,3.530959852,3.49547669,3.465109187,3.426765756,3.392990604,3.366796382,3.352637924,3.352892842,3.348783094,3.36124301,3.387469731,3.423855472,3.468136593,3.505982367,3.551517493,3.603238865,3.65987726,3.719874349,3.766596714,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,3.34699327,3.390647378,3.442836862,3.499540296,3.554893859,3.605702272,3.629582454,3.64945643,3.666976801,3.683285915,3.698701786,3.692634104,3.686178842,3.67907845,3.669966634,3.658578599,3.643329713,3.623489083,3.607679618,3.608459476,3.632291978,3.636840457,3.664698179,3.705394401,3.745377069,3.777760389,3.796512156,3.806477515,3.80812415,3.802252705,3.788790634,3.745701692,3.699116279,3.652212743,3.608749068,3.571875444,3.528619023,3.493897408,3.469059611,3.456224783,3.456399734,3.45246605,3.458465786,3.475947143,3.507226669,3.552729633,3.590971168,3.64408474,3.705953621,3.768140823,3.825812362,3.861515865,3.893811403,3.924197461,3.955212095,3.987876987,4.001927867,
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,3.214937387,3.279067024,3.34274074,3.407440606,3.475959165,3.549462215,3.611561011,3.678489388,3.746810708,3.811838485,3.870650965,3.907579161,3.941238576,3.969178178,3.988313119,3.99743279,3.991048877,3.974928219,3.957017178,3.950342839,3.96232896,3.966881165,3.993094915,4.031415271,4.069663096,4.10132316,4.127788373,4.147309299,4.157976783,4.158045388,4.145922419,4.106802862,4.06092255,4.011425839,3.962916588,3.919333237,3.870947251,3.82999236,3.798031626,3.777718689,3.770396142,3.768526956,3.778582026,3.80001623,3.832060623,3.873536794,3.910938359,3.959306106,4.015324885,4.074734018,4.134614942,4.185201867,4.236739869,4.286254919,4.330308414,4.366592927,4.383934592,
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,4.374086167,4.39925827,4.41974159,4.437260474,4.453944556,4.470923893,4.462721668,4.457047308,4.452756322,4.447337082,4.439756394,4.406772553,4.370998893,4.340233784,4.324915894,4.329653425,4.350533644,4.385520489,4.429833895,4.477313504,4.523453947,4.523202289,4.531614972,4.539639676,4.534701197,4.511015732,4.465881972,4.401077922,4.327542564,4.259350324,4.203093311,4.134881867,4.079234315,4.036785605,4.007889011,3.993529704,3.983611553,3.988908906,4.008298392,4.041141861,4.086177275,4.129359959,4.182536235,4.241611314,4.30112232,4.357370733,4.392078649,4.426197822,4.459131894,4.490328644,4.519560702,4.532394,4.543972129,4.554509443,4.564645969,4.574663263,4.569224549,
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,4.105983928,4.173125596,4.242871974,4.312956946,4.38006484,4.441698937,4.485587076,4.527187875,4.563686145,4.590973202,4.607216141,4.599648944,4.581764992,4.561476992,4.549689626,4.551722322,4.562147397,4.581747663,4.607524856,4.636292383,4.66569328,4.673914409,4.692229001,4.709570735,4.710579675,4.687896861,4.650340167,4.588447159,4.513553562,4.441027532,4.378566904,4.313065683,4.258742181,4.216375147,4.186521096,4.170304242,4.162787171,4.171175135,4.192777685,4.224321311,4.263259764,4.305777317,4.353316198,4.405114648,4.460517534,4.518216937,4.568292151,4.622499453,4.675806908,4.721289878,4.75519607,4.772990051,4.78050367,4.780684373,4.778513732,4.776829909,4.768440345,
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,5.199870882,5.187922715,5.177377133,5.167457737,5.156493855,5.144184334,5.108698152,5.072845642,5.044458027,5.034328129,5.04719825,5.057462245,5.086308943,5.125585182,5.163930863,5.193979959,5.220614578,5.23869057,5.245178032,5.237813003,5.216070091,5.140377966,5.064258091,4.987508852,4.910801202,4.836537354,4.765692533,4.693440836,4.627648986,4.578211554,4.549010248,4.518487487,4.508371479,4.516830126,4.540965441,4.578994695,4.622029575,4.67983099,4.745143441,4.808619354,4.864234121,4.90377826,4.9345427,4.959368114,4.982768559,5.006775843,5.01483495,5.02564122,5.036921779,5.045322712,5.049550194,5.041600029,5.032732628,5.02421745,5.018080063,5.015816739,5.006214958,
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,5.023646375,5.068937111,5.109064192,5.141914523,5.164927958,5.177487604,5.17150664,5.156399006,5.140276136,5.134450908,5.14463502,5.157232994,5.182374158,5.214445247,5.245037093,5.268123629,5.284900601,5.295536824,5.295865331,5.281460214,5.250659051,5.183775897,5.11143914,5.034644557,4.955538525,4.877464338,4.810473513,4.739894059,4.674265324,4.624097842,4.593696066,4.572508824,4.571953198,4.588184566,4.615303006,4.650097304,4.69013858,4.738945529,4.793358127,4.850033088,4.906180493,4.960871864,5.012786653,5.05978625,5.099083943,5.128806257,5.142303933,5.148752273,5.149078275,5.145037882,5.138323424,5.127869681,5.117108949,5.106017775,5.09433927,5.082374377,5.067160433,
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,5.807223945,5.764431757,5.719295197,5.681456346,5.664570237,5.675145901,5.692392385,5.733526983,5.788498544,5.843000843,5.887603585,5.906345343,5.919363745,5.921196392,5.9045017,5.86556233,5.809325262,5.729643611,5.636242978,5.54367091,5.460832652,5.355364134,5.271751352,5.205926246,5.152668604,5.110430421,5.085276766,5.065528453,5.056640697,5.06584933,5.094619281,5.12354493,5.172454875,5.232795777,5.292144901,5.343716996,5.381758955,5.414286226,5.441074888,5.463452594,5.481982754,5.493097686,5.498636568,5.499998906,5.499044064,5.49665229,5.481595985,5.470244518,5.461234802,5.45239052,5.443622818,5.431938316,5.423187439,5.422080356,5.435445807,5.467334902,5.505993408,
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,5.777041086,5.764506467,5.738958991,5.711205071,5.696511124,5.702613546,5.719955187,5.754252293,5.798450816,5.842008912,5.877677482,5.899483039,5.916819238,5.922440567,5.906303408,5.863138223,5.79787172,5.707542056,5.602783808,5.499598109,5.408060466,5.307882466,5.226668782,5.16167215,5.108924711,5.067387818,5.05033586,5.039275463,5.037623857,5.049416634,5.074516249,5.103413857,5.145518834,5.196467765,5.250101979,5.302964738,5.35457059,5.407247775,5.456062361,5.495030173,5.520542818,5.535359003,5.535330509,5.525164024,5.51176374,5.499049513,5.481427034,5.468149574,5.456767436,5.443116134,5.425976393,5.40827722,5.389707002,5.376975535,5.379834988,5.403947674,5.443711572,
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,6.277083109,6.29353587,6.335020131,6.391376701,6.448312947,6.496334915,6.525198068,6.549600576,6.56263733,6.5552495,6.522686303,6.455997026,6.368605633,6.268357057,6.166158304,6.069103366,5.976200596,5.883659279,5.797717344,5.726508667,5.6739664,5.618924018,5.594287397,5.593151144,5.606523352,5.629246194,5.672128764,5.717595133,5.76416716,5.810370712,5.853474172,5.877836969,5.900636012,5.920935969,5.937683566,5.951266862,5.956460268,5.960616461,5.961790372,5.957956517,5.948054646,5.935224995,5.917164265,5.896752838,5.877565166,5.861905456,5.842091509,5.830699258,5.829877973,5.842250375,5.870278592,5.910908428,5.959648827,6.026714153,6.128167375,6.269708556,6.441350201,
