Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP,0.287778583590909,0.3038859321363636,0.3122252362727273,0.3120137998181818,0.30313034409090905,0.2852811751818181,0.30213193440909086,0.3126377975909091,0.3153204775909091,0.30921213718181817,0.29390973181818175,0.3107147209545454,0.32063468231818176,0.3235038738636364,0.3196207662727273,0.3089044715,0.328689668,0.34226432368181825,0.3479836343181818,0.34487207250000007,0.3328461989545455,0.34992163322727277,0.3599650493636363,0.36267251699999997,0.35830051381818184,0.34702932154545457,0.3659077828181818,0.3784373372727272,0.38374848745454543,0.38147730940909086,0.3716767379999999,0.3909270837272727,0.40406153072727274,0.4102894072727272,0.4091913770454545,0.40091768331818173,0.4220996060454546,0.4363448532727272,0.44391753431818176,0.44577198418181807,0.4425103315000001,0.4707877609999999,0.4930457294090909,0.5082766385909092,0.5162075644545454,0.517137455590909,0.5477635765454546,0.5712332218181818,0.5872933394090909,0.5964034089090908,0.5991527712727271,0.6313021847272726,0.6551398039090908,0.6698068094090908,0.675269470318182,0.6723051971363635,0.7005545630454546,0.0
"Population ages 75-79, male (% of male population)",SP.POP.7579,0.5108201138181818,0.5162142130454545,0.5190556610454546,0.5193672689090907,0.5171283589545455,0.5129900341363637,0.5166743477272727,0.5165842593636364,0.5149272139545454,0.5140445030454545,0.5153055901818182,0.5261657428636363,0.535723214409091,0.5425243367272727,0.5451896533181819,0.5444208058181819,0.5468388225454545,0.5452640409999999,0.5421319923181819,0.539708328909091,0.5392348289090908,0.5446043412727274,0.549117215,0.5526689115909093,0.5553079361363636,0.5581702010454547,0.5635872801818181,0.5673120734090908,0.5700867909999999,0.572286828318182,0.5745250940000003,0.5784441309545455,0.5805242128636364,0.5828296281818182,0.5879620590000001,0.5978489750454545,0.6126550433636363,0.6286109655,0.6451557812272727,0.6613120418636365,0.6770992259999999,0.6912901571363637,0.7028885989545454,0.7136394118181818,0.7252825235909091,0.7388852455909091,0.7530236657272728,0.7671516142727272,0.7807036756363637,0.7923866436363638,0.8019884032272728,0.8049232289090908,0.8058603295000001,0.8063919000909091,0.807404175590909,0.8094233161363636,0.8055439181363636,0.0
"Population ages 70-74, male (% of male population)",SP.POP.7074,0.9545110267272728,0.9514975285909091,0.9459351188181817,0.9405824324999998,0.938734100818182,0.9422401885000002,0.9470521321363637,0.9549841240909093,0.963592559409091,0.9694294532272728,0.9714996801818181,0.9662475991363636,0.9579896854545455,0.950661708909091,0.9477460629090909,0.950229495909091,0.9485296927272728,0.9491938465909091,0.9513053500909091,0.9534410901818183,0.9554106034090908,0.9521237021818181,0.9503049699545454,0.951740764409091,0.9570291605454545,0.9656311407727273,0.9636313218181819,0.9621303061363637,0.9629669950909091,0.9683635593181816,0.9797748986818182,0.9874691427727271,1.0002169333636362,1.0175482659545454,1.037806706909091,1.0597004138181818,1.071815164318182,1.0837690730909093,1.0974265315,1.1141710862727272,1.134082750409091,1.1445469706363633,1.1567257879545456,1.170050976818182,1.1829444070000001,1.1945404673636364,1.1947923284090909,1.194470712318182,1.1945112706363636,1.1951956971363638,1.1966150276818182,1.1871385745909089,1.178782131,1.1732967830454546,1.1726144805000003,1.1778991712727274,1.1753765752727274,0.0
"Population ages 65-69, male (% of male population)",SP.POP.6569,1.481167526272727,1.4790974615454544,1.4829161229999999,1.4899286803181817,1.495797883409091,1.4981440307272726,1.4821827873181819,1.4644568726818183,1.4491625610454546,1.440806426909091,1.4407883684545455,1.4344934050909093,1.4342391238181815,1.4370520484090907,1.4397037128636365,1.441243098409091,1.427688884272727,1.4154860498636366,1.4065412995454543,1.4025624959999998,1.4039301164545455,1.3997633955454545,1.3996368924090907,1.4032222635909093,1.411086575090909,1.4240499948181817,1.4255203133636365,1.4339356710454547,1.448939147772727,1.468652389818182,1.4907839245000003,1.4983292577727274,1.5076419987727272,1.519022504318182,1.5338089145909093,1.553155563818182,1.5625814338636361,1.575807615272727,1.5907007007272727,1.6042289935909089,1.6147679682727274,1.6099006731363636,1.6045477129545453,1.5996169755454546,1.596102023409091,1.5945601608181816,1.5814921905,1.5714520883636367,1.5651444715000002,1.5634122604090905,1.5669106492727272,1.5624789380454542,1.5621937387727272,1.5696609492272728,1.590701429272727,1.6282107489545459,1.6653477044090907,0.0
"Population ages 60-64, male (% of male population)",SP.POP.6064,2.091891140227273,2.0699700069090907,2.0444632740454547,2.019953605318182,2.003170306181819,1.9973665997727275,1.9827600546363635,1.9791438856818182,1.9813789538636364,1.983010830818182,1.9809426603636362,1.9611329355,1.9422022101818177,1.926926768363636,1.918208486409091,1.9164166480454548,1.9017738770454544,1.8935936804999998,1.8911961529545456,1.8940065594545452,1.9014868349090912,1.9013673474999997,1.9073281891818183,1.919195246227273,1.9360587089090906,1.9562408912272728,1.9635990253181819,1.9740360618636366,1.9858050955909092,1.9982340584090914,2.0115105867727276,2.0126914623636365,2.019268348590909,2.0296410702727274,2.0407686285454543,2.050077479818182,2.0404305637272726,2.0301902767727276,2.020200422863636,2.0110543351363637,2.0027115937727276,1.9848926271363638,1.9702955515,1.9602058580454544,1.9561599595454544,1.958753205909091,1.9540987367272726,1.9556395024545452,1.9662759313636362,1.9902579272727272,2.0290582122272727,2.0713567528181818,2.128995591090909,2.1952269514545453,2.2605302502727276,2.3190842527272717,2.3560617454090913,0.0
"Population ages 55-59, male (% of male population)",SP.POP.5559,2.610815055090909,2.590908347181818,2.5825148281818184,2.5811737795909093,2.5804743270909096,2.5761492391363636,2.547776117318182,2.5201257665454544,2.4955947487272727,2.4776463425454547,2.467709297409091,2.4516819099090905,2.443377474454546,2.4408878330454544,2.442998718181818,2.449206581363636,2.4429931911818183,2.442384942727273,2.4466708489999998,2.4555746369090907,2.468592700590909,2.4758552022727276,2.487173575181818,2.4994361687272733,2.5103453898181813,2.519384914681818,2.515174685909091,2.5136176425000003,2.5139043743636367,2.5138849427272727,2.511352699318182,2.4964325821818174,2.481538922454546,2.4659605024999998,2.4504077619090903,2.4363576313636366,2.4118579859545455,2.3910364518636364,2.375031463636363,2.365043599818182,2.3614720961363638,2.3586738935,2.3615077965909097,2.3732238669545453,2.3992493629999996,2.4417461367727276,2.490864647818182,2.557253478863636,2.631825249045454,2.702058752454546,2.7607722513636364,2.805589879545454,2.841599560409091,2.8722867581818186,2.9044659012727267,2.942207482136364,2.9722744413181816,0.0
"Population ages 50-54, male (% of male population)",SP.POP.5054,3.2201042432727274,3.191970144909091,3.1613932045454547,3.1310094038636365,3.1062453508636363,3.090200959727272,3.0651312030909086,3.0516148359090907,3.0469348599545456,3.0478879487272725,3.05243628909091,3.0471198350454545,3.0470227935,3.0517879558636367,3.0615465529545456,3.0757651559090906,3.0763031761818187,3.082137598681818,3.0902416317727273,3.0970524173181815,3.1005354329999992,3.0899236615000003,3.0792966095909082,3.0686822977272725,3.0575585016363633,3.0450629044090918,3.02114574,2.997741818454546,2.9734045147727275,2.947437917954545,2.920266931454546,2.8870900663636365,2.858136781272727,2.835205000772728,2.8212964865,2.819125284772727,2.812381157681818,2.812863825727273,2.8235281519090907,2.8493382445909092,2.8925808921363636,2.9503386304545454,3.0246016950000008,3.1059997596363633,3.1820545349545455,3.245785813272727,3.2946452149545453,3.3347860919090917,3.3688805494090914,3.4019085180000004,3.4370862204545456,3.472189104772727,3.508863619318183,3.5465683708181817,3.585120449772727,3.624608584954545,3.6565307361363635,0.0
"Population ages 45-49, male (% of male population)",SP.POP.4549,3.789698290272727,3.763572398136363,3.7461661635,3.7368437891363637,3.7344125529090917,3.7368063758636363,3.727009261454545,3.724870434045454,3.7288307537272725,3.7373334798181825,3.7487151365909095,3.750902726409092,3.758708727363637,3.769074041545454,3.778006640136363,3.782384422954546,3.763393706454545,3.7430082618181824,3.721266043272727,3.6984648566818183,3.674549599863636,3.639073450272727,3.605425518090909,3.571874651545455,3.5369259222272733,3.5005671538181815,3.4543792581818185,3.4116405876363634,3.374619984045454,3.345530477318182,3.3250866166818183,3.311820444545454,3.310707743045454,3.3263825045454536,3.3647232298636367,3.4272045721818176,3.484028731636364,3.5606981969090907,3.6478693095,3.7309437885454546,3.8005543789545455,3.8535243773181818,3.894110851454545,3.926966036818182,3.959533498272727,3.9958135888181814,4.030095635863637,4.068782751681818,4.110055679454546,4.150552464045455,4.188100649318181,4.221747689227274,4.254391908681819,4.286812446,4.319992081590909,4.3539681829090915,4.381353974545453,0.0
"Population ages 40-44, male (% of male population)",SP.POP.4044,4.519916359181818,4.5140125675,4.512638343636364,4.5141075221363645,4.518981140363637,4.528206542409091,4.526185728000001,4.531032570181817,4.537942605318182,4.5412500838181815,4.537892269818181,4.521480826272728,4.502325823318182,4.47889749290909,4.451499532045455,4.421207407227272,4.373162988181817,4.327600420090908,4.282804794454545,4.236860930909091,4.189405543954546,4.130047623727273,4.074200669318182,4.024191948227273,3.983767712772728,3.9557632231818185,3.9296363537272736,3.9134720049999996,3.910897469454546,3.9281265334545457,3.9675720757727286,4.039495287227274,4.136631663545454,4.245747872090909,4.350422449181817,4.4421702689090905,4.493797089545454,4.534540288772727,4.568498468863635,4.6021201597272725,4.638803675954545,4.673292870000001,4.709712429863636,4.747318901545454,4.785009775818183,4.821940809681818,4.856136776818182,4.892348423181818,4.928972913636363,4.964034535909092,4.9965216359545455,5.026640749636363,5.052565657181817,5.077815213272728,5.109654137727273,5.152633024636365,5.205042752818182,0.0
"Population ages 35-39, male (% of male population)",SP.POP.3539,5.440639766136363,5.4362682967727265,5.436324420136363,5.439131084681819,5.442294196681818,5.443385011227272,5.413308054545454,5.3833059885454535,5.351268632636363,5.3146311388636365,5.272234308681818,5.217110637363636,5.163181975181818,5.110931204636364,5.058954734227272,5.004494502318181,4.931053664954544,4.862168715772727,4.800346087909092,4.749324244318182,4.711995775272729,4.673742897818182,4.649241602772729,4.64402958509091,4.6651762167727275,4.713874823363636,4.77148193309091,4.854376335636363,4.948805375590909,5.035343883863636,5.102158822136364,5.17159672159091,5.229045417727272,5.279275170363637,5.330543526772728,5.3873649379090915,5.416307767090909,5.450418100954544,5.488382978863637,5.527062050863637,5.564140862954546,5.596933876181818,5.629639060454546,5.663285047454544,5.698580281000001,5.734571115727274,5.767862828136363,5.801315222136363,5.8365493636818195,5.876265622,5.921248008863636,5.972109142818181,6.028451184863635,6.0879603408181815,6.147032776409091,6.202033408863638,6.252516060772728,0.0
