Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP,0.3280326521666667,0.3474317030833333,0.3595190201666667,0.36324133375,0.35781766741666665,0.34242508925000004,0.36732534466666666,0.38560088725,0.3957219234166667,0.39698654125000005,0.3891170419166667,0.41467088916666667,0.4334489739166667,0.4450170909166666,0.4495232650833334,0.44709065641666673,0.4790754428333333,0.5055234228333333,0.5248106235833334,0.5357227106666668,0.5378922035000001,0.5763188525,0.6064706945833334,0.6283656296666665,0.6431846464166666,0.6516701020833334,0.6953899682499999,0.7331209428333335,0.7639210289166667,0.7873324633333333,0.8036055081666668,0.8597969522500003,0.9096507067499998,0.9515827186666667,0.9845485890000001,1.0087346348333333,1.0691372587499999,1.1205361663333335,1.1636707286666668,1.2001349965833334,1.2315002936666666,1.3057999953333335,1.37424315475,1.4368292770833333,1.4941520080833335,1.5475401881666668,1.6427283062499998,1.7313313696666663,1.8138277160833332,1.8915927070833332,1.9664124885833336,2.0812297450833332,2.18914950325,2.2912323259166665,2.388604679333333,2.4823557049166665,2.612583325583333,0.0
"Population ages 75-79, male (% of male population)",SP.POP.7579,0.5636963021666667,0.5759345688333333,0.586991749,0.59524231725,0.5985527475833332,0.5968874725000001,0.6087778965,0.6151688025833334,0.6189535923333332,0.62355268975,0.6308460191666666,0.6468133075833333,0.6629357246666666,0.6785199751666667,0.6926549939166667,0.7059502018333333,0.7233771294166668,0.73903189725,0.7546428356666667,0.77163906525,0.790869485,0.81603656225,0.83875742125,0.8603083031666667,0.8822603936666665,0.90587870275,0.9305830089166666,0.9566572735000003,0.9833434713333333,1.0085310739166666,1.0317861210833335,1.0541660626666667,1.0735118873333334,1.093245297,1.1174308098333334,1.14843650825,1.1812660066666665,1.2175301577499997,1.2576261049166668,1.3012060024166667,1.3483629140833333,1.3947261976666667,1.4427966481666665,1.4939027713333335,1.5489735975833334,1.6084022386666668,1.6639392346666664,1.7206265649999999,1.7793424925000003,1.8407147080833335,1.904877160833333,1.9629887776666666,2.02298179775,2.082956307416667,2.1401029326666667,2.1939723009166667,2.233449630833334,0.0
"Population ages 70-74, male (% of male population)",SP.POP.7074,1.06995106075,1.0703208009166667,1.0686472932500002,1.06738469425,1.06813686525,1.07135742225,1.085364682,1.0992187440833334,1.1133487210000002,1.1276405593333334,1.1418684129166667,1.1521203508333333,1.1628489915,1.1766390870833334,1.1955094633333334,1.2199225295833331,1.24120935775,1.265959589583333,1.2939025946666665,1.3237931514999999,1.3545808046666667,1.3807084640000002,1.4055944373333336,1.4302774437499999,1.4549859849999998,1.4795409130000001,1.4928846241666667,1.5071780835000002,1.5252377821666665,1.5498378833333335,1.5824069581666669,1.6134593485833335,1.651000899916667,1.694617921,1.743552245166667,1.7972959661666665,1.8426328788333333,1.8914633775,1.9452824399166666,2.0051329911666667,2.0709657921666667,2.1293591294166667,2.191097622583333,2.256706250083333,2.326415917083333,2.399717023333333,2.4622726636666665,2.5281224054999996,2.5946377235833338,2.6577362125,2.7156710129999997,2.7553455555,2.7897648749166666,2.827515253833333,2.88014889225,2.953044190583334,3.0292181201666666,0.0
"Population ages 65-69, male (% of male population)",SP.POP.6569,1.6446754289166667,1.6440924238333336,1.6511134591666667,1.6620137245833335,1.6717139154166667,1.6786786815833334,1.6868765776666663,1.6905131481666669,1.6935673005833332,1.701987952333333,1.718939448416667,1.7344488421666668,1.75676217775,1.783438634833333,1.8123234844166662,1.8433354707499998,1.8655561455,1.8920188598333336,1.9203811140000002,1.9473952334999998,1.9718029296666668,1.9858076609166666,1.9946398158333334,2.0033240097499996,2.0190486823333336,2.0458076080000005,2.0685068935,2.1029845651666665,2.1464455393333335,2.1949285650833334,2.2468760373333327,2.2930717199166666,2.343215256,2.398117665416667,2.4596951369999998,2.5287618067499995,2.5887470978333336,2.6530216313333335,2.7214381385,2.794082627,2.8708194245833334,2.9379050029166667,3.0092931186666667,3.080677105666666,3.1468452125833335,3.2061716968333336,3.244841015583333,3.2762783283333334,3.309064954,3.355997155916667,3.42398182,3.4992870794166664,3.5983905420833335,3.7054898909999996,3.7971212046666665,3.8612653509166672,3.886889405,0.0
"Population ages 60-64, male (% of male population)",SP.POP.6064,2.3260911895833334,2.31236260425,2.3041758189999997,2.3025768136666667,2.307799826666667,2.319509019916666,2.329009005666667,2.3408057310833335,2.3558047412499996,2.3750711283333334,2.3985045360833332,2.40816434425,2.4245174379166667,2.4454835351666664,2.46751450275,2.48911224925,2.4921218851666667,2.4968776790833336,2.5061914128333336,2.5234261300000003,2.550002210166667,2.57183983925,2.5988766003333326,2.6320851342500005,2.6723166376666665,2.7195710207500006,2.7543794577500003,2.798781550333333,2.8520798025833334,2.9128311823333335,2.980201359583333,3.0413515197499996,3.1075574087499995,3.17838112525,3.2543776723333333,3.33527403375,3.402124926833333,3.474334452666667,3.54757040075,3.614958162833334,3.6733060601666665,3.7077417367500005,3.7333872980833327,3.7602032840833335,3.802433625666667,3.867345919916666,3.9361728482500005,4.03065349775,4.134757863666667,4.223421106833333,4.283132917166667,4.302147393083334,4.292491759083333,4.278650753833333,4.297454985333334,4.368934133833334,4.472559376333333,0.0
"Population ages 55-59, male (% of male population)",SP.POP.5559,2.9737232915000003,2.9651666674166672,2.9726037895833333,2.9906926246666665,3.011270287666667,3.0290699150000004,3.034518381416666,3.038048543583333,3.041012491,3.0450577795833333,3.0500417865833334,3.0353021209166666,3.025325323083333,3.0226233839166667,3.030686022416667,3.051359691,3.0638379012500003,3.0909683787500004,3.1293915608333336,3.1737351791666666,3.220158197083333,3.257201010583333,3.2937137954166666,3.3340438896666664,3.3839716665833333,3.4451577063333336,3.49515883175,3.557698598583334,3.6296940374166664,3.7065350255000005,3.7851763305833335,3.8558578325833337,3.9307531292499998,4.00428424275,4.07003818125,4.124615278833334,4.151093924583333,4.167844392916668,4.185595046916666,4.2188091505,4.274471587583332,4.337202564083333,4.426967533666667,4.5271911555,4.611549617333333,4.665050055083333,4.675367025666667,4.655746059,4.632104457416667,4.643751043083333,4.711790283,4.816198723916666,4.97468257025,5.160849013833334,5.3342250060000005,5.47149399775,5.5639696805000005,0.0
"Population ages 50-54, male (% of male population)",SP.POP.5054,3.6836724045833336,3.6753127368333334,3.6779110700833333,3.6852193683333336,3.688405221083333,3.6829437579166666,3.6656122015833326,3.6395954152499996,3.6120177110833342,3.5942562689999993,3.5919531474999995,3.58917495925,3.6053101987499994,3.63511120725,3.672142968166666,3.7135857015,3.744084216333334,3.7826631290833332,3.8287417344999994,3.882048763083334,3.9414923074166666,4.000879015166666,4.059275364333334,4.118558033333334,4.182713936916667,4.252904751083333,4.312167503916666,4.384316463,4.459810661166667,4.524455272833333,4.571366446249999,4.5984014809166665,4.60821589675,4.612268835250001,4.629715457166666,4.670666386333333,4.725133239666667,4.8079105994999995,4.9005196978333325,4.974592581083333,5.015248294666666,5.019843608333333,4.991488511416667,4.957313016083334,4.959195590916667,5.020087609750001,5.12770017375,5.292651411916666,5.486002963000001,5.664151183583333,5.80233360725,5.899514826833333,5.959724057833334,6.0057389739166664,6.075095287833332,6.188618381833334,6.334286139666666,0.0
"Population ages 45-49, male (% of male population)",SP.POP.4549,4.354898457,4.320130889083333,4.291795259416667,4.269547381083334,4.253174138916667,4.242997033916667,4.23712694825,4.236178986333333,4.241002770583333,4.253428011666667,4.273487135333333,4.288486781416666,4.3148646,4.352022032083334,4.399956689500001,4.4588124225,4.511101760750001,4.57436411975,4.64460763825,4.717329920249999,4.7894755272500005,4.859865058916666,4.924530866583333,4.9807210387500005,5.025965933833334,5.059647767583333,5.065839197333333,5.065507969583334,5.065557631666667,5.077031187166667,5.107229445833334,5.155393328333333,5.227798532166667,5.306955998416666,5.366777470333333,5.392993987833333,5.384779851499999,5.342255833083333,5.294399071416666,5.286136981666666,5.342392389666667,5.4509262035,5.619875535916667,5.817828802416667,5.997930841666666,6.134263309416666,6.2317430244166685,6.289144407333333,6.330943533916666,6.3965518139999995,6.507918948416666,6.65169145525,6.8326457405833345,7.027675134833333,7.200897962833333,7.328619233583333,7.416854726916665,0.0
"Population ages 40-44, male (% of male population)",SP.POP.4044,4.941803751,4.918833081750001,4.919651507083333,4.93654721325,4.956856824333332,4.973235956583333,4.9871019534166665,4.995109335333334,5.004086865166666,5.025039972666667,5.062398832083333,5.100267867166666,5.154467421166666,5.220018754583333,5.290428673166666,5.361955519083334,5.419863042750001,5.4879500580833325,5.55677624925,5.611840930833334,5.644303080416667,5.651750204333333,5.62920914025,5.59705506,5.583440606416667,5.601890803000001,5.625787979000001,5.688815481666666,5.766759835166667,5.822143018833333,5.835992305666667,5.814258018333334,5.7526710418333336,5.68519371425,5.662222506,5.709766614333334,5.817401603333333,5.989438610666667,6.194005181583333,6.38001285125,6.517359436916666,6.610066257416666,6.6573956475000005,6.686971503083332,6.741851396666668,6.844885990000001,6.9856016988333325,7.165279451416667,7.361153587833333,7.536588898416667,7.6667341829166675,7.752446074916667,7.802547209166668,7.806935133083332,7.753889211250001,7.640400008916665,7.478468458166667,0.0
"Population ages 35-39, male (% of male population)",SP.POP.3539,5.723604982916666,5.719001892416666,5.731903987833334,5.758720737583334,5.793196543583332,5.830858149416667,5.872758349000001,5.911197439916667,5.949088822166668,5.99275592475,6.0433404495,6.082163163916666,6.134389308166667,6.188453532416667,6.227730796083333,6.245400111416667,6.236025647500001,6.211390590833333,6.182661022166666,6.166770122833333,6.170913641000001,6.200741856166668,6.250390731583334,6.306289372083334,6.345382023166667,6.353480421333333,6.305295728333333,6.228852679583333,6.15121934925,6.117861127416666,6.156406220916666,6.262289857249999,6.4382089585,6.645479931083333,6.830215590166667,6.963290632083333,7.049337584999999,7.088071169500001,7.107601671916665,7.152072742833333,7.2462220435,7.379634485333334,7.551854285000001,7.739138373833334,7.905231359499999,8.027001649250002,8.112790945333334,8.165078066333335,8.171603269,8.11805704925,8.000461697416666,7.819953766666668,7.573892636166668,7.305308373083332,7.079386832000001,6.936280727916665,6.879376444583333,0.0
