Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP,0.4149673812666667,0.43044990436666664,0.4371487794000001,0.4352561777,0.4258443826666667,0.4085378570333333,0.42389556193333333,0.4322312514,0.4320809766333333,0.42287021103333333,0.4063509519666668,0.42091236436666674,0.4282237222333334,0.42844594773333333,0.4224091154333333,0.4117079833000001,0.4286015594666666,0.4397704884666666,0.44432832080000007,0.4425133667000001,0.43542405693333325,0.4554704738333334,0.46922797956666656,0.4763649278,0.47798902129999987,0.4756262733666668,0.4982173636666667,0.5133265149666667,0.5195753362333334,0.5170541617666666,0.5067888062,0.5235661852333334,0.5352167702,0.5400041800000001,0.5365799871333332,0.5257035911,0.5364425745333333,0.5387457296,0.5344197668333334,0.5260425217333332,0.5153334954,0.5337857268666667,0.5489139238333334,0.5595987875666667,0.5647781731333334,0.5643610150333331,0.5867842818333332,0.6038134239666666,0.615740986,0.6230601192,0.6266296668666665,0.6503041869,0.6673742297333334,0.6781269810333331,0.6833910101999999,0.6838406475,0.7090144310666667,0.0
"Population ages 75-79, male (% of male population)",SP.POP.7579,0.6399552613000002,0.6400636378333334,0.6391674791999998,0.6347162573333336,0.6241784926999999,0.6082087161666666,0.5971942568999999,0.5871565850333335,0.5824944844999999,0.5844076196666665,0.5910470539,0.5906463488666666,0.5921512919333334,0.5957833168333335,0.5998461982333333,0.6027968866666665,0.6025669874333331,0.6027206465666667,0.6053882337000001,0.6104498734333336,0.6165190679999999,0.6205109151333332,0.6253292409333332,0.6325448053,0.6412144549000001,0.6487561556999999,0.6410277927666667,0.6328003750333333,0.6244529671666665,0.6146445669666668,0.6027674168333333,0.5890064286333332,0.5743376216666665,0.5647193039333335,0.5656776606666666,0.5783376046,0.5870541761000001,0.6000797931333335,0.6147867645000002,0.6283145192000001,0.6400571976000002,0.6481536683999998,0.6541978737666665,0.6597124009666667,0.6660078982000002,0.6739370726333334,0.6796150890333335,0.6845520212666668,0.6899198047,0.6969915341999999,0.7059750326333333,0.7105481183333335,0.7167841325000003,0.7223514043000001,0.7239311812333332,0.7211543056000003,0.7124458664666665,0.0
"Population ages 70-74, male (% of male population)",SP.POP.7074,1.1199518753666668,1.0858472677333333,1.0472333962000002,1.0110567142666669,0.9855563120999998,0.9729228675333335,0.9779140691333335,0.9876624649333335,0.9977788556333334,1.0061570394333328,1.013850925666667,1.0091740643333333,1.0036982972333335,0.9975347003666664,0.9934901619999998,0.9944887836,0.9964953571333333,0.9980437966999999,0.9979866367000002,0.9965174871333331,0.9951055161666665,0.9973450545000001,0.9990942571000001,0.9960654638666667,0.9849983661,0.9659709198666666,0.935139233666667,0.9026077857666668,0.8745965885333333,0.8589658374333333,0.8592239102,0.8711478749666667,0.8952919986666665,0.9262640361666665,0.9566748795333335,0.9812580568999999,0.9847185593,0.9868450832333334,0.9905212153333335,0.9979019647999999,1.0087593212333335,1.0096558234333333,1.0125490787333333,1.0188016112333333,1.0292671362333334,1.0436406175,1.0478273443000001,1.0551505850333331,1.0615273359333337,1.0617610425666668,1.0544776801666669,1.033462115,1.010614827966667,0.9916153457333335,0.9824187897666667,0.9852710923,0.9902840855333334,0.0
"Population ages 65-69, male (% of male population)",SP.POP.6569,1.5527256443666666,1.5299432673666666,1.5193792016333336,1.5157546539666669,1.5130542202666668,1.5083095901999999,1.4993877772000004,1.4932945128666666,1.4914351666666665,1.4935693939,1.4996238112000004,1.4834941002000002,1.4755220441666668,1.4743929525666666,1.4773978325333332,1.4827145869333336,1.464994482833333,1.4514397327000002,1.4388943485333328,1.4218234101999998,1.3983610106333335,1.3617363086999998,1.3174492694666664,1.2741923255666663,1.2428793126333333,1.2289334998666666,1.2283943577999996,1.2438778366333334,1.2690200887333336,1.2960473722666666,1.3211975986,1.3381873972333336,1.3514608534333334,1.3595961438000002,1.363940646733333,1.3678127518333332,1.3716064744666665,1.3769885002666666,1.3825394832000002,1.3891481932666672,1.3986281490333334,1.4037181095999998,1.4164852837333335,1.4308235895666666,1.4378561191000003,1.4333584936333332,1.4021841153333336,1.3656581266000003,1.3314190802333339,1.3091549152666666,1.3038109048333333,1.302969642,1.3140536591666665,1.3374940013000003,1.3749151669000004,1.4271008151,1.4888240763666667,0.0
"Population ages 60-64, male (% of male population)",SP.POP.6064,2.1901200315,2.1593744661666667,2.127091261966667,2.0939292074333333,2.0614427105666673,2.031922303966667,2.0110413788333332,1.998254573933333,1.9936004309333335,1.9938510758333332,1.9936540610333329,1.977943046366667,1.9682919342666663,1.9624049548666667,1.9536232890999996,1.9355120990666668,1.8747435846999996,1.810738268833333,1.7538983666000003,1.716085248233333,1.7005818861666668,1.6868948125000003,1.6906392853999999,1.7071564541666673,1.727064926933333,1.742345262866667,1.7529330608333333,1.7637651923666666,1.7752789315,1.786770829833334,1.7960418041333333,1.7877604280666668,1.7819704547333335,1.7829400936000002,1.7911220177,1.802032842733333,1.803265394733333,1.8094207057666667,1.8170888558999998,1.8186296432999995,1.8084606286,1.7788800480000004,1.742262738566667,1.7068733287333338,1.6822860295666666,1.6721305306666663,1.6620331870666665,1.6677784187666669,1.6913031297333334,1.7345890640333332,1.7964660512,1.8608954063333332,1.9413318517000002,2.0310348758000005,2.1225173569999995,2.2131138246666664,2.2962047254999995,0.0
"Population ages 55-59, male (% of male population)",SP.POP.5559,2.8059258947666676,2.739054449933333,2.6743054736333325,2.6156843462000006,2.569491309133334,2.537938828966667,2.525242416566667,2.5155052476333335,2.4989399672666672,2.4719738242666667,2.440977799333333,2.4095975466666664,2.3642221885,2.309741894233334,2.263700550033333,2.2424651048666666,2.228516068266667,2.2355818163333336,2.2525714054333332,2.2700275336333338,2.2860869550666663,2.296325354766666,2.301495753933333,2.2974541712,2.2859879695,2.272902534366667,2.2722319677000002,2.2670725512999996,2.2565766612666667,2.2448000972333326,2.2374068479,2.243314717466667,2.256403817566666,2.266229274133333,2.262143559733333,2.241400264033333,2.2144042475333334,2.1753578504999997,2.131067134233333,2.0950062214666665,2.0768666881333337,2.0771118211666666,2.091658852833333,2.1197352869999997,2.1623144110666663,2.2206305655999996,2.2980920106333333,2.393945121833333,2.4976466046,2.597757191433333,2.6887447412666665,2.769167028033333,2.850615748933334,2.9362344460666665,3.0289933632333335,3.129146176366667,3.2100261898999998,0.0
"Population ages 50-54, male (% of male population)",SP.POP.5054,3.3469753009000005,3.283098757266667,3.238520955333334,3.205006023066667,3.1675143341666674,3.1169509630333336,3.0408789836000008,2.971738830933333,2.9237706113000006,2.904013203599999,2.907214156233334,2.8713940665333335,2.8702884008333336,2.9016517504999997,2.9497026624666662,2.996634130299999,2.9813486163666667,2.974370288466667,2.9762750606999995,2.9812775464000003,2.9817461623333323,2.944554966333333,2.9059922498000006,2.8775510122666663,2.8641096866666667,2.8593479532333337,2.841203242333333,2.8328294708666664,2.8303699544666667,2.8236332769666665,2.805410866533333,2.766926041466667,2.7187147224333343,2.672709008233333,2.642708875433334,2.634236110766666,2.635285623,2.6509540285999997,2.6839917883999993,2.736588268733333,2.8082116858333337,2.8887806646333343,2.9894865418,3.102197937533333,3.212768366866666,3.311664720266666,3.3887481876333343,3.456410851166666,3.519764274166667,3.5865137580999997,3.6603547645333325,3.7532337012000005,3.8541344003666667,3.9596762169000006,4.065035207133333,4.1665759721,4.233409847233333,0.0
"Population ages 45-49, male (% of male population)",SP.POP.4549,3.938613735799999,3.8412551049999992,3.7294828197666665,3.6174535363,3.530356911666667,3.482707133066668,3.4899095193333327,3.519793697733333,3.5576619943333325,3.5959277874333337,3.6346196814,3.669162330666667,3.704862366666667,3.7298547409666662,3.7426696325333335,3.7475797271666664,3.7130168703333335,3.6740081483333347,3.6326351035000006,3.6020791729999995,3.593556066,3.5905475472999995,3.595631532133333,3.5899107766000005,3.5616791464333337,3.5165332773666678,3.466333832233333,3.4068199088333326,3.348676520633334,3.3081484993666663,3.2932577733,3.2997503652999995,3.328552085533333,3.380307282300001,3.4569357864000003,3.558510658233333,3.6619195633333335,3.7820647260000007,3.9061788540999993,4.021604374833334,4.124405352166667,4.2014962703666665,4.270888342800001,4.3366281115000005,4.404830169066668,4.4788789299000005,4.530699024433333,4.589767334466667,4.653855859166667,4.724112954299999,4.804396691366665,4.9043260657333345,5.000471106,5.090961015033333,5.179625406366666,5.273687111966667,5.3426595310666665,0.0
"Population ages 40-44, male (% of male population)",SP.POP.4044,4.381159573700001,4.332729005333333,4.322521779699999,4.342665506499999,4.379106532133334,4.419622041,4.4561924208666674,4.501101106466667,4.548393176333334,4.588549124166667,4.615479207466667,4.589263965300001,4.5616968192666665,4.535729860500001,4.5179486495,4.512007509433334,4.4716925289333345,4.468507043333333,4.489220343233333,4.504860339333334,4.494042601800001,4.399342013566666,4.291143421233333,4.201698700200001,4.164342922366666,4.1916203592666665,4.197576750333332,4.224293871066666,4.2656408528,4.321469818900001,4.398676433433334,4.514722522866666,4.661569693700001,4.827346033033334,4.993431582433332,5.1479042513666675,5.2296050292,5.295075418333334,5.352346486866665,5.412942296833333,5.483274194200002,5.5218734212000005,5.575705887300002,5.6407206596999995,5.708863874066664,5.7762815391,5.798841592466668,5.839966954566668,5.903463331366668,5.991298266399999,6.100958421399999,6.181044832966667,6.270656871933334,6.375236067333334,6.492336291766668,6.6140170067,6.665504497833334,0.0
"Population ages 35-39, male (% of male population)",SP.POP.3539,5.4295349689,5.4654507238666685,5.504002349500001,5.537823835566667,5.5608232216000015,5.568880627866667,5.557299367133333,5.5387819828666665,5.521435659733332,5.510780236833333,5.503929171199999,5.461375807599999,5.444903317366666,5.4437599031,5.439786065733333,5.418571162266667,5.3450152282999985,5.253013081133334,5.154939607333333,5.082963838066666,5.0629426464,5.0841875492,5.163485527666666,5.292155616233334,5.456212422766667,5.641583363533333,5.6980508437,5.782578658266667,5.8894793229,6.0044597152999994,6.1187298566,6.211272711233333,6.299394027499999,6.389264336866665,6.492347158666666,6.617690134699999,6.657595595166667,6.702377003799999,6.745868817900002,6.783640802099999,6.817544624733333,6.812084501366669,6.8219101134999995,6.8508529334,6.903014181866665,6.981034643266666,7.032470623466666,7.1073040626,7.203466563733332,7.3275281197,7.484755109700001,7.593081630166666,7.702482058866668,7.806052945766667,7.9107627114333345,8.0316807095,8.088856694066664,0.0
