Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP,1.34301138175,1.40355407375,1.45246650725,1.488320487,1.50963313975,1.51625859475,1.581125693,1.6321402275,1.66917464775,1.69174411825,1.69960218725,1.7671535447500002,1.81863162375,1.8548532684999999,1.87578126975,1.881883981,1.944270461,1.9847298850000001,2.00531788675,2.0135261495,2.01878214575,2.10424686575,2.1812779012499997,2.244942453,2.29204813625,2.32429825125,2.4048816215,2.4665780455,2.51163541925,2.54499541725,2.572006739,2.6610503962500003,2.73378066125,2.78766814225,2.8221552585,2.840893861,2.9097426735000003,2.9633922635000003,3.00579496225,3.042239878,3.0771695477499996,3.176835156,3.2619395109999996,3.3318856645,3.385960009,3.4255845134999996,3.52009076975,3.601134265,3.6703883037500002,3.72632494725,3.768732462,3.8360435949999996,3.8837103995,3.91645132625,3.9386328417499996,3.9556101115,4.0147207865,0.0
"Population ages 75-79, male (% of male population)",SP.POP.7579,1.6201286805000001,1.63309401925,1.6423406054999998,1.650230375,1.6597465477500002,1.673985768,1.6873055300000002,1.70123818625,1.71321155025,1.7207980217499999,1.7248671442499999,1.7288476615000001,1.7278903204999998,1.7288022335,1.73936077775,1.761874081,1.7781944357500001,1.8159163344999998,1.87625424125,1.94848180025,2.0182076535,2.0432865825,2.058832804,2.0765500355,2.10617700125,2.14831502325,2.174016613,2.20933882725,2.2523920234999997,2.29584320275,2.3336987775,2.3326977285,2.326361028,2.328818259,2.35178488475,2.3959140125,2.43251429825,2.48192602425,2.53630214425,2.58393077975,2.61833696425,2.620553916,2.614562738,2.6059791585000003,2.59929393025,2.595519433,2.57820139025,2.5589033135,2.53903352375,2.5240010574999996,2.5195232085,2.5087706245,2.5145370650000003,2.53781350775,2.5795749179999996,2.63991476325,2.697707942,0.0
"Population ages 70-74, male (% of male population)",SP.POP.7074,2.383582719,2.3740378485,2.3720513805000003,2.37775199875,2.3877473305,2.3990667375,2.3816034907500003,2.3625668405,2.3494599254999997,2.3523641362500003,2.3772863212499997,2.40722237775,2.44449467075,2.48315031275,2.52028557675,2.5595116575,2.613142527,2.66357450725,2.704533874,2.7407823582499997,2.783993046,2.82453283325,2.876058436,2.9272000620000003,2.9685476260000003,3.00058412875,3.01277557075,3.0167510985000003,3.0189700217500004,3.0331456667500003,3.069148193,3.105017655,3.158303829,3.2141719765000003,3.2573976470000003,3.2833926219999996,3.27852304625,3.26514893325,3.244693142,3.2202022117499998,3.19529700925,3.15827275175,3.1225528047499997,3.091589566,3.0706179265,3.06320042325,3.0448372280000005,3.03954094,3.05075308625,3.08234172275,3.13690441125,3.19822501175,3.2778521769999998,3.3772995327500004,3.5024008327500002,3.65683600325,3.825378668,0.0
"Population ages 65-69, male (% of male population)",SP.POP.6569,3.0536999365,3.0276388539999997,3.00371755975,2.9872603799999995,2.985811998,3.00218878725,3.01288674375,3.04914139775,3.1053715017499997,3.1686271679999995,3.22705940675,3.2445338599999998,3.261752774,3.29018259975,3.3357948745000003,3.393850913,3.424674156,3.4690370502500003,3.5281664765,3.5911194015000003,3.6447271150000002,3.642781096,3.6313459795000003,3.627342477,3.64774219225,3.695073014,3.7253058914999997,3.7778359265,3.84241665325,3.899501183,3.9349074167499998,3.9151154032499997,3.880091611,3.8379189385000005,3.79646025975,3.7585918145,3.69484402225,3.6367399562500005,3.58834763575,3.55300919,3.532216488,3.51143174325,3.5042630362500002,3.51462173025,3.5474138999999996,3.60508522225,3.660108877,3.7369917089999998,3.83977891125,3.97359525375,4.1386649035000005,4.3122409372499995,4.519900026,4.7435165565,4.953130199,5.1282424345,5.251450505499999,0.0
"Population ages 60-64, male (% of male population)",SP.POP.6064,3.6241394815000003,3.6350009447500002,3.66450452075,3.7020032157499996,3.73730862975,3.7694833825,3.80460687325,3.836621118,3.86226230575,3.8860041080000003,3.91553176425,3.9593616230000004,4.00863775525,4.053428274,4.0865865347499994,4.1076079015,4.12302775575,4.128858467000001,4.130156921,4.14225483025,4.1763348014999995,4.22404678075,4.29596287475,4.37083901375,4.425520634500001,4.450554129,4.44145873625,4.4138602675000005,4.3689228477499995,4.3127466844999995,4.2516967,4.17504777,4.101291633250001,4.03461314125,3.98126764825,3.9453249042499996,3.90799110125,3.8924128687499997,3.8987126512500003,3.9271294529999996,3.97779288975,4.0437680955,4.1286963995,4.23883993725,4.3825016285,4.56030297925,4.746666479,4.9651326155,5.194712987,5.40673631,5.585221172,5.723091101,5.826939855500001,5.90609084725,5.98264806725,6.072983927249999,6.172239595500001,0.0
"Population ages 55-59, male (% of male population)",SP.POP.5559,4.44729426475,4.443852858,4.4414825335,4.448689324749999,4.47059805625,4.50526819775,4.52078359025,4.54813478175,4.5857925335,4.6240870785,4.65365795175,4.65616542325,4.6371628972500005,4.61348672025,4.6086823225,4.63484281475,4.68352743275,4.75875319725,4.84166267275,4.90307581025,4.9265308690000005,4.914112638,4.87690562125,4.822746739,4.76122800775,4.6969403705,4.6124352005,4.5256011305,4.44256847525,4.370705207,4.31534697475,4.2739657724999995,4.2511913575,4.2492018822499995,4.2716967685,4.3213332607499995,4.3839157347499995,4.47008273025,4.581457733000001,4.72389536525,4.901220532,5.116973995,5.36254330775,5.61493633325,5.844330749499999,6.03470526175,6.1760111895,6.2816476745,6.36519655525,6.448747492,6.54497408525,6.63466029425,6.73775024575,6.84720331125,6.9469588785,7.0229069305000005,7.0682283749999995,0.0
"Population ages 50-54, male (% of male population)",SP.POP.5054,5.095002055250001,5.102194339,5.123117239500001,5.1475375435,5.1651582355,5.17319233325,5.166435285,5.152633432,5.13759744325,5.1354390169999995,5.15604306025,5.18975069425,5.247207174,5.3157498942500006,5.371290285500001,5.395794717999999,5.37162916625,5.3197330475,5.2476240195,5.164952903,5.0771204315,4.989613802499999,4.900483975749999,4.814864966,4.74014449575,4.68096736325,4.6276632655,4.5954641474999995,4.5878520895,4.60740044325,4.6542093085000005,4.72179699175,4.811251453250001,4.92808330225,5.0793476347499995,5.26509284375,5.470328751249999,5.71716075,5.983807062,6.23355172775,6.441542322249999,6.599672089250001,6.71029949375,6.79414617225,6.8805472100000005,6.98283878425,7.0753384455,7.17442647,7.27255332625,7.358186727750001,7.423843850249999,7.468226064,7.50078824825,7.503003001000001,7.45291921825,7.3422708045,7.182542303,0.0
"Population ages 45-49, male (% of male population)",SP.POP.4549,5.789190646250001,5.760632416999999,5.72227772,5.6848620075000005,5.663915253,5.667940231749999,5.6870969672500005,5.734527399500001,5.794051886,5.83847976625,5.849899067749999,5.829961600500001,5.772914712,5.686798978000001,5.58913004025,5.493830168000001,5.387254317,5.2823301395,5.17857900025,5.0802784149999995,4.997321739749999,4.950285137500001,4.92220170775,4.9143066705,4.9311750522499995,4.97795960675,5.053199081,5.1527406665,5.27662449025,5.43100601425,5.6217595495,5.84799673225,6.105044852500001,6.36731378875,6.60235533725,6.79450732175,6.956546274000001,7.078367212000001,7.1718484805,7.26077835225,7.3605382305,7.471498393,7.5833772685000005,7.6880216515,7.775369048249999,7.8394016715,7.87312480625,7.895101573,7.891082633,7.83987203325,7.731196903250001,7.55510713725,7.32578096,7.069558921,6.827319678249999,6.626348637,6.47595012875,0.0
"Population ages 40-44, male (% of male population)",SP.POP.4044,6.2883949155,6.279838129750001,6.29799615825,6.326764589,6.341218446,6.327379279500001,6.2836442485,6.21708909925,6.129615093,6.02777170075,5.918545958499999,5.8021777905,5.6823607805,5.571528876,5.4781340255,5.4029697625,5.3128227535,5.24998883425,5.2266804955,5.246661507,5.302322847499999,5.3760175212500005,5.4775365495,5.613255629499999,5.78757068225,5.99538110425,6.219472456249999,6.48257228325,6.76561675025,7.032085993,7.2538539664999995,7.3996108675,7.494538513499999,7.56357459925,7.6409836355000005,7.74275319,7.84541407675,7.95862933975,8.0701784945,8.160903609,8.219545817750001,8.258427014999999,8.274761805,8.260573004,8.200924866,8.086624669999999,7.902734249000001,7.6639620425,7.397321302999999,7.145227113,6.936296189749999,6.753440085,6.620428184750001,6.5283520917499995,6.4584870775,6.398488434000001,6.3536154835,0.0
"Population ages 35-39, male (% of male population)",SP.POP.3539,6.930457163,6.846003716,6.740304832750001,6.61829778175,6.487805829,6.3554273615,6.207836191999999,6.062917677,5.926365243,5.80553169475,5.707863498,5.63514544325,5.57338739275,5.53208137375,5.530208989999999,5.582763901,5.674835260999999,5.801722932500001,5.94830044725,6.111568321750001,6.30127329425,6.554260380750001,6.839075170249999,7.1239717882499995,7.3739583264999995,7.575309128,7.75628244875,7.8860986857499995,7.9749966595,8.052717719,8.14353028075,8.243776711999999,8.355158678999999,8.462808719,8.548788774,8.604784062,8.61934411225,8.61911832675,8.590021558,8.510862297249998,8.372673140749999,8.18776349175,7.94214297725,7.666633405250001,7.406964256749999,7.1908138415,6.995566382,6.847580337,6.740589824250001,6.65911933,6.592801859000001,6.528730755,6.4842339895,6.45775853875,6.451567458,6.46787738125,6.505129221499999,0.0
