Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP,1.2809918825,1.326468622,1.358800491,1.381904989,1.397502427,1.4037503585,1.450954801,1.4766061195,1.4790888265,1.458342528,1.4159771545,1.4658703339999999,1.504919691,1.5351222475,1.5547430135,1.5601237895,1.614537383,1.6528053775,1.676869802,1.6879625219999999,1.6867038805,1.7479438405,1.7932297145,1.8256272820000001,1.8494911920000001,1.8677984945000001,1.9334529775,1.9891534960000001,2.0373888515000003,2.0808053109999998,2.1210820155,2.2313227955,2.3340415255,2.425443048,2.500120871,2.5564247785,2.6413424225,2.6990551325,2.73895263,2.7765041935,2.8240547394999997,2.9495829909999998,3.07713418,3.201223138,3.314207905,3.412896001,3.5206446400000004,3.6075474929999998,3.6744438004999997,3.7213691005000005,3.751742737,3.8011478089999997,3.8365586285,3.8688002800000003,3.9028047724999997,3.9394520115000002,3.9904802065,0.0
"Population ages 75-79, male (% of male population)",SP.POP.7579,1.5457859269999998,1.5848271760000001,1.6258805475,1.6588601664999998,1.676961414,1.6827708725,1.661213775,1.6348769495000002,1.6067261025000001,1.5797473095,1.5572868839999998,1.5737144365,1.5815412635000001,1.5801551835,1.5772316575,1.5837979245,1.598918266,1.6251259095,1.6573849415,1.691040884,1.7261789754999999,1.7641756765,1.7996570575,1.8378376575000002,1.886233228,1.9482868505000002,2.0002312905,2.06317346,2.1247396094999997,2.170083156,2.196208982,2.207638422,2.200280221,2.1905190265,2.201756753,2.2459725655,2.293118048,2.3750422505,2.479928198,2.5843329025,2.6715113180000003,2.7092352115000002,2.728411383,2.7327423064999996,2.7257610305,2.7097830844999997,2.6540242075,2.592482131,2.536215992,2.4997265955000003,2.489684336,2.495749968,2.521350997,2.5564017234999996,2.59574701,2.6420503495,2.6763399449999996,0.0
"Population ages 70-74, male (% of male population)",SP.POP.7074,2.5188567070000003,2.5049684305,2.4840939815,2.4635277395,2.446828406,2.433981513,2.3808722325,2.3342598375,2.297784161,2.2736300615,2.2620003395,2.2596113420000004,2.265344186,2.2878139745,2.3289607985,2.3835169845,2.4094670565,2.442892857,2.4867947165,2.543590011,2.6132488745,2.681250242,2.75845802,2.8348390315,2.8954886565000004,2.9326058725,2.910082225,2.8724435159999997,2.8416031525000003,2.842249615,2.882980607,2.9362044555,3.0169952804999998,3.1111535275,3.1973782015000003,3.262322065,3.299140993,3.3243414060000003,3.335762496,3.3331174060000004,3.3179011545000003,3.258072971,3.188361219,3.122290622,3.0773779230000002,3.0624811359999997,3.0466855605000003,3.0575553835,3.0858914475,3.1222239555,3.1644969025,3.2035858225,3.2500606530000002,3.3165957625,3.4151931805,3.544836686,3.685017858,0.0
"Population ages 65-69, male (% of male population)",SP.POP.6569,3.2451544665,3.193599759,3.1510431745,3.1177715509999997,3.093332256,3.0776669595,3.0307610535,2.9965679400000003,2.9767521865,2.9748497885000003,2.992506586,3.030497606,3.074347191,3.1220446425,3.1773332085,3.244819004,3.3013135595,3.3838691494999997,3.474721563,3.546947632,3.5859715745000003,3.5784108385,3.533909103,3.4802317165,3.4578537135,3.487127932,3.5305167490000002,3.6168119250000004,3.7191304450000002,3.8043611495,3.857945588,3.8823975955,3.886716634,3.8712524115,3.840268459,3.7994295495,3.7421330005,3.673279234,3.6034146529999997,3.5504619995,3.5280025725,3.5172833375000003,3.5415206105,3.590417588,3.6483883945,3.706850762,3.7362052025,3.7650657305,3.8125489354999997,3.902675799,4.0417548455,4.2070121475,4.408011165,4.607194766,4.75957598,4.847781469999999,4.898226494499999,0.0
"Population ages 60-64, male (% of male population)",SP.POP.6064,3.8111191515,3.7679400445,3.7391503215000004,3.724880729,3.7260493329999997,3.7433979455,3.744604517,3.7623041325,3.7938706890000002,3.8362417955,3.8852680260000003,3.940701942,4.007525315,4.0767212875,4.131321964,4.160755668,4.139685139,4.095157529,4.046381462499999,4.02419645,4.045632658500001,4.0996447215,4.191069239,4.29997172,4.396150454500001,4.4593658425000005,4.458403580000001,4.4424381655000005,4.412610868,4.3667346469999995,4.3033811755,4.214515926,4.1121750265,4.016009317,3.9480976635,3.9160800615,3.8958239245,3.9141997560000004,3.966349058,4.0367380575,4.111644729,4.1624754070000005,4.2094414285,4.27262221,4.3816422045,4.548190472,4.738965562,4.974994839,5.212399499,5.3948258725,5.4953555105,5.516965881,5.4825711004999995,5.4255306815,5.38679653,5.384831362,5.4089362965,0.0
"Population ages 55-59, male (% of male population)",SP.POP.5559,4.436465806,4.4434767435,4.469581945,4.512862322,4.569503812000001,4.634559015500001,4.6769929825,4.729199876999999,4.7720484800000005,4.7836559805,4.757622835499999,4.722864146999999,4.65162017,4.574998286,4.5363340139999995,4.5551520285,4.597336307,4.6947714435000005,4.8168878345,4.9181974595,4.9722649145,4.9985081845,4.9843872945,4.9354633395,4.863912523,4.7783891975,4.662645468,4.537432938,4.413955778,4.3121747594999995,4.247394303,4.232239838,4.2510475775,4.291739227500001,4.342817815,4.401395302,4.4775089040000005,4.554040687,4.6397484605,4.7614924635,4.941042243,5.1718085395,5.461607840999999,5.7638995435,6.0109610584999995,6.164269881,6.196953601000001,6.1435393955,6.042761220499999,5.952710724999999,5.908036148,5.911265993,5.950479241,6.008867369,6.0632338305,6.1001607745,6.1319907045,0.0
"Population ages 50-54, male (% of male population)",SP.POP.5054,5.3252356495,5.38611535,5.467138198500001,5.5440065700000005,5.5834669550000005,5.5710806564999995,5.4801032915,5.346360549,5.2072770385,5.1157085425,5.0997028035,5.153767199500001,5.25287769,5.36640746,5.454323627000001,5.496651455,5.497516145500001,5.477616637000001,5.431509242500001,5.3550915119999996,5.2510873794999995,5.136526330500001,4.99134621,4.841260204,4.7204325735,4.6469154669999995,4.5990835830000005,4.602601909500001,4.6453357565,4.705878041,4.772056764,4.8427840705000005,4.912495823,5.000172993,5.132041072,5.317312198,5.5445334845000005,5.8366936955,6.160025148,6.448059852,6.651887279,6.729796298,6.715769226,6.647084765000001,6.581830632000001,6.5548128935,6.5231948315,6.5235880895000005,6.5507848855,6.5891612864999995,6.6239100265,6.6495110195,6.673419384000001,6.6806029460000005,6.654924465500001,6.5943319525,6.518048715,0.0
"Population ages 45-49, male (% of male population)",SP.POP.4549,6.298485046,6.2102830685,6.073517768,5.9268638475,5.8243977104999995,5.7940746225,5.8034290445,5.8851094065,6.0036031649999995,6.106277607,6.1621017259999995,6.1430710795,6.080794946999999,5.985671806999999,5.870438054,5.744811202499999,5.584885958,5.415329831499999,5.253257810999999,5.120494561999999,5.028470099,4.987967759,4.9850000990000005,5.0150560255,5.0685986255,5.138359873500001,5.20135612,5.275162284,5.371573205500001,5.5108403195,5.702980109,5.943249118000001,6.231105607,6.525695642500001,6.77195581,6.9410667375,7.061402705,7.098013992,7.071761197000001,7.031171821,7.014061988,7.0061647315,7.027380410499999,7.0735915689999995,7.132001735999999,7.190864037,7.2188440175,7.246821408,7.252802951,7.215840492,7.133951423499999,7.012567638,6.8610949475,6.7126365715,6.605394877,6.552522433,6.5314739125,0.0
"Population ages 40-44, male (% of male population)",SP.POP.4044,6.420787699,6.427057661999999,6.5101682175,6.628368180500001,6.719099894,6.7465657414999995,6.726188498,6.669244514000001,6.577794971,6.456339975500001,6.308037209,6.099099820999999,5.869958800499999,5.655665905999999,5.4983242445,5.4170940255,5.3494096705,5.3445103895,5.3793654545,5.4250891815,5.471048034500001,5.55558204,5.6350620715,5.729853026,5.8743443045,6.0848828725,6.3238914489999996,6.628592193499999,6.9502531990000005,7.2163884925,7.388263457,7.4739477999999995,7.4748209345,7.430148771500001,7.396447592,7.402160339,7.4061755345,7.4299583995,7.4697270765,7.5160735905,7.5665342165,7.621647257999999,7.6907934115,7.7499384675,7.7636854505,7.7126419485,7.5569257805,7.345655182,7.128435348,6.9685772055,6.8947760285,6.877183594,6.926637210999999,6.9919295135,7.009577745,6.9560252785,6.8557737885000005,0.0
"Population ages 35-39, male (% of male population)",SP.POP.3539,7.354776363999999,7.3043755315,7.212822060500001,7.083390159,6.9226320295,6.7384395105,6.539651327,6.307285718,6.0648487865,5.855188404,5.710669596,5.6470821975,5.655754511,5.7170350039999995,5.8020574675,5.893289577999999,5.9266018465000005,5.9768181195,6.0603874925,6.198318435,6.3969389405,6.6703181874999995,6.9927123485,7.3245306305,7.6048175449999995,7.793487966,7.8563224055,7.840345939500001,7.780571406,7.730070854,7.7210681715,7.738850262,7.779096147,7.8288855935,7.872735039,7.902920061,7.9183494065,7.9573703185,8.0087132725,8.0382823705,8.0142774435,7.890431292500001,7.695579721,7.4748155574999995,7.296647669,7.198787766500001,7.1673424845,7.2225251335,7.310778445,7.355956124,7.319799214,7.1763134215,6.9734054285,6.769318708,6.638556035000001,6.614241479,6.6510836090000005,0.0
