Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP,0.457816680125,0.47525856887500006,0.483671859,0.481062285875,0.46852249087500003,0.446974663625,0.467418544375,0.4801148155,0.48463710975,0.47948547375000006,0.46477092550000004,0.478922090375,0.48430863575,0.482080007875,0.471477192875,0.454254482625,0.47747315900000004,0.49374933725,0.5025619798750001,0.502883420375,0.49646496525,0.5194358697499999,0.534869640125,0.544760587875,0.546940048375,0.54402381475,0.569470737,0.590231920125,0.6066747205,0.617288987,0.621478871625,0.64589479125,0.660888960375,0.667324228625,0.6653387694999999,0.6558529441250001,0.676724640375,0.693372901375,0.705091361125,0.711373445125,0.711895091625,0.7401913960000001,0.76255155325,0.780473151,0.794186643125,0.8036917226250001,0.836440705125,0.861552064375,0.882077381,0.8983794036250001,0.9111754621249999,0.9494309691249999,0.9804224643749999,1.0042659137499999,1.02126855525,1.03225151875,1.073345712125,0.0
"Population ages 75-79, male (% of male population)",SP.POP.7579,0.6937950477500001,0.686672852125,0.680040968125,0.6762974205,0.674332646625,0.673029419125,0.6649210102499999,0.656770667375,0.650848366,0.6498372043749999,0.6539144640000001,0.656280953375,0.657862945375,0.659529462125,0.6611571909999999,0.6622503548750001,0.6653325237499998,0.66638788075,0.667678143,0.6695570817500001,0.672224456,0.6812826041250001,0.689325509375,0.696439307625,0.7033426222499999,0.711593886875,0.722901377875,0.7313362840000001,0.735064759875,0.733150535625,0.7275265881249999,0.7220472665,0.71659563,0.71289462925,0.713558812875,0.71949531075,0.729353868375,0.739160345375,0.748015788625,0.7545044803750001,0.7573789555,0.7712822758750001,0.78428551475,0.7986014218749999,0.817993551375,0.842974802875,0.8658313667499999,0.891302572125,0.914653097125,0.9331895859999999,0.94852794875,0.961771404125,0.975192493125,0.9874341748750001,0.995241754875,0.998378378125,0.9928588307499999,0.0
"Population ages 70-74, male (% of male population)",SP.POP.7074,1.1277403685,1.118748813625,1.106177403,1.091553900625,1.0785084983750002,1.072720537125,1.07174845825,1.076997467875,1.085084966125,1.094992284625,1.1070106714999999,1.10917106275,1.1080129995,1.104032623875,1.100082393875,1.1000050376250001,1.10303212625,1.107095394875,1.110059940125,1.1098165045000001,1.10623081375,1.110306583625,1.115764780375,1.122457048375,1.128591927125,1.132316603,1.1187094306249998,1.1024669020000002,1.0889422933750001,1.081053291375,1.07953344975,1.081598824,1.087944476,1.0989414315000001,1.1140833687499998,1.133670510875,1.138410647625,1.1403478965,1.1409819078749999,1.144216488125,1.155364314125,1.192778876125,1.2339460545,1.273166145875,1.3030265546250002,1.3193191565,1.3251204204999998,1.331024588875,1.34271126825,1.3571680597500002,1.3658425172500002,1.3557134892499998,1.34182807975,1.3321279851249999,1.336500777375,1.3606389191250001,1.392270130625,0.0
"Population ages 65-69, male (% of male population)",SP.POP.6569,1.6388901953750001,1.62278069225,1.61160661725,1.6079049531250003,1.611099186375,1.6210280493749998,1.6199718082499999,1.624844947375,1.635368202625,1.6499349454999999,1.66640765625,1.6562961601250004,1.648506467,1.645269334625,1.6459038427500001,1.650638081125,1.63381960175,1.61751966375,1.6017706138749999,1.584138951625,1.5628170865000002,1.5523796027499999,1.538681799375,1.5251200520000001,1.5170318825,1.5185239099999999,1.510898499375,1.510574940375,1.5146730526250003,1.5205460768749999,1.527471917,1.538785845625,1.552904606,1.570594987875,1.5937451664999998,1.6235142779999998,1.627812993,1.6438000453750001,1.6702827898750001,1.701769588875,1.7322028917499999,1.74641298025,1.746666517625,1.734766407125,1.720519292,1.7183157746250002,1.736170870875,1.7468813315000002,1.7422342538750002,1.7254314265000001,1.7089829197499997,1.7426695413749997,1.7937163466250001,1.8629324995000003,1.951889509625,2.060699917375,2.175716341625,0.0
"Population ages 60-64, male (% of male population)",SP.POP.6064,2.237548243125,2.2311829735,2.226283453625,2.22260730975,2.224001056125,2.23168437375,2.231212690375,2.23542326375,2.241413719125,2.244841080125,2.245118847875,2.2275667400000003,2.21080644775,2.19587001925,2.184443535625,2.1777214291250004,2.135649594875,2.0936445382500004,2.051579233125,2.011200898625,1.9750275262499999,1.969689721,1.9730085242500002,1.98530739825,2.0049839932499998,2.029806068,2.027548277,2.027781620625,2.030259121875,2.035769689625,2.0440439365,2.06452236325,2.0894774741249997,2.117069287625,2.14412153425,2.16644784975,2.167117152125,2.1733087314999997,2.181531982375,2.185668525125,2.182334183875,2.15431778,2.143195298625,2.1630336715,2.216294800875,2.2913398346249996,2.2884529842499997,2.2894043295,2.309747592,2.359068909875,2.4373271456250003,2.56747654125,2.7141634072499996,2.8724060065000003,3.037092428625,3.203810308125,3.3607681845,0.0
"Population ages 55-59, male (% of male population)",SP.POP.5559,2.918162577375,2.90593882675,2.89469307075,2.886507008,2.883955279625,2.8825039156249996,2.8571444745,2.8356449815,2.816679317875,2.7993741763749997,2.783150247375,2.7546306396249998,2.726676771875,2.702350442625,2.6873885075,2.6843676015,2.633122810625,2.5907787036249994,2.555037961875,2.5237022405000005,2.495148878875,2.51162317425,2.53168760225,2.555056060625,2.5818216865,2.6129825565,2.60990070875,2.610900622875,2.614206286,2.617459233375,2.6189304182499997,2.629672823375,2.6354422114999996,2.6309895662500002,2.61394102575,2.589695988875,2.563798838625,2.5346450605,2.5087200671249996,2.497461989,2.509599845375,2.585808191375,2.6781398984999996,2.77710415775,2.8849537791249995,3.0074206945000004,3.100956371,3.2232523493749996,3.3618578959999996,3.5060837942500003,3.65324300025,3.82640597025,3.9974802827500007,4.161179667500001,4.311978336375,4.44668707575,4.557425409,0.0
"Population ages 50-54, male (% of male population)",SP.POP.5054,3.6010422608749995,3.5771989932500006,3.5493145461249997,3.516396538625,3.4814122606250004,3.4483032929999995,3.402512639375,3.3647085466249997,3.335840343375,3.316108582375,3.305169511625,3.2891807995,3.2797147564999998,3.2786124063749997,3.287936235375,3.307007241875,3.25766747275,3.2167188922500003,3.180987625875,3.1493399825,3.1204774271249995,3.1464257325,3.1725770801250004,3.1985624873750003,3.22303692675,3.2454863185,3.2274098211249993,3.213966696625,3.1994166640000006,3.1739535915,3.1348445132499996,3.08282149,3.0243606400000003,2.9767270534999994,2.958918088625,2.9767511263750004,3.0049969615,3.0589747066250004,3.1413993854999998,3.25177800775,3.386832924375,3.5588263318749997,3.7422039173750004,3.92879947225,4.104604689125,4.258503135750001,4.390014824374999,4.52825681825,4.6754814715,4.824593223,4.962476924625,5.077764296000001,5.1705197011249995,5.248751123625,5.3239093435000004,5.4021850726250005,5.475549155125001,0.0
"Population ages 45-49, male (% of male population)",SP.POP.4549,4.241866998,4.181426332875,4.115702588374999,4.055162535,4.011197282875,3.9837881936249997,3.9541645117499997,3.940517856125,3.93955367075,3.945320351,3.956343290875,3.96611872475,3.977851398875,3.9929234044999995,4.013117072625,4.038503085125,3.980524326125,3.931628539625,3.889564327375,3.849576351625,3.809015344125,3.8195510906249996,3.829795287375,3.83363670125,3.822834498125,3.7957279823750003,3.7162031456249998,3.6289243597499996,3.54937634475,3.5019206076250002,3.5013314563750004,3.539594974875,3.6059589738749995,3.6962409515,3.812064882625,3.95562979125,4.11542034225,4.301982362375,4.502676410125001,4.701415494375,4.890550205749999,5.0621009675,5.205874434875,5.32029109475,5.412408169,5.49363255725,5.623248070375,5.7391189767499995,5.829527280374999,5.893573561499999,5.9415663565,6.014764287250001,6.083549998,6.14857305775,6.211235255375,6.272513236000001,6.333423873499999,0.0
"Population ages 40-44, male (% of male population)",SP.POP.4044,4.797610595625001,4.763449956875,4.7355382453749995,4.71346218075,4.6981992855,4.69050116375,4.68510502325,4.691812411125,4.708461561749999,4.729395076125,4.74960068875,4.762880833875,4.772009569374999,4.778353704874999,4.785052011625,4.793333915125,4.70942584225,4.638699573125001,4.57158249,4.494534563125001,4.401181992625,4.34096323525,4.26390262225,4.189460479375,4.144292344,4.14293690575,4.1523266560000005,4.210395561875,4.317009772125,4.46847915475,4.657046450249999,4.8310687347500005,5.02708384175,5.235140376375,5.441808389375,5.637826335250001,5.799656175000001,5.958815245125,6.113954670375,6.261759883,6.402072585999999,6.471265367375,6.52662204375,6.577204276250001,6.626385755625,6.67046013625,6.712901201624999,6.744415297374999,6.776139211,6.812296316375,6.847755032375001,6.902750459250001,6.952886523249999,6.9971292300000005,7.03329774725,7.061563724625,7.083068228625,0.0
"Population ages 35-39, male (% of male population)",SP.POP.3539,5.625743337875,5.607531754,5.584738346,5.562778274999999,5.551098680875,5.5483353585,5.547346424125001,5.553832835874999,5.56121699775,5.560757995875,5.55141236275,5.535416642000001,5.515951208375,5.4900367687500005,5.45299810375,5.403512536875,5.2456107395,5.085908811,4.935460794000001,4.8200223125,4.76649180675,4.798880397875,4.8670652155,4.970416520250001,5.109980833375,5.282480120625,5.491860206249999,5.740220056374999,6.007290336,6.269226916875,6.5152359261249995,6.683143503499999,6.831323190875,6.96061367975,7.071133067750001,7.162515826375,7.2268884333750005,7.2927357566249995,7.37158300925,7.465529644875001,7.564526962875,7.572978250249999,7.57055311225,7.561682737500001,7.5585591245,7.569735708,7.60239014025,7.638409597125,7.66775651875,7.677143861875,7.659149128625,7.666749224124999,7.656115379875001,7.644534262624999,7.655379378375,7.697634910750001,7.763594360250001,0.0
