Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Population ages 80 and above, male (% of male population)",SP.POP.80UP,0.4281517295000001,0.4517557884999999,0.4688561668333333,0.4788994438333334,0.48222910683333337,0.4794885283333333,0.5087270346666667,0.5314196625,0.546162379,0.5523254818333333,0.5503923865,0.5810732133333334,0.603431321,0.6172823071666667,0.6232066928333334,0.6218950911666667,0.6568322948333334,0.682684482,0.6985368461666667,0.7046498525000001,0.7020986316666668,0.735929032,0.7613814911666666,0.7779687838333332,0.7857184966666666,0.7853529956666666,0.8270742951666668,0.858335832,0.8788438085,0.8895099511666666,0.8915180531666667,0.9368373596666667,0.9730478728333333,0.9986322370000001,1.0123692753333333,1.0149203184999998,1.0614519291666669,1.0980759903333333,1.1261332606666665,1.1476560018333333,1.1642973770000002,1.2228186003333332,1.2727812806666667,1.3144896615,1.3492970106666664,1.3788106806666667,1.4471453761666666,1.508127075,1.5600623361666666,1.6009700809999998,1.6310339278333335,1.6969818606666667,1.7507642891666666,1.7943151241666664,1.83036008,1.8613731088333332,1.9250474105000002,0.0
"Population ages 75-79, male (% of male population)",SP.POP.7579,0.6611724943333332,0.676031497,0.6900567691666667,0.704105506,0.7180417161666667,0.7317273811666666,0.7421302944999999,0.7510389373333332,0.7612900566666667,0.7750191268333334,0.7926760516666668,0.8092084566666666,0.8266037076666666,0.8445773026666666,0.861759867,0.8775578948333336,0.8900091496666667,0.8994243360000002,0.9092796675,0.9225431321666667,0.9400761925,0.9531620908333335,0.9683235305000001,0.9854694349999998,1.0033024471666667,1.0210369053333335,1.0344952935,1.0467931983333332,1.0587234153333334,1.069855411,1.0798824896666668,1.08339858,1.0847415796666666,1.0886604438333334,1.0995669145000002,1.1188540308333332,1.1406485571666667,1.1665923223333332,1.1961284506666667,1.2279479085,1.2610474761666668,1.2874078484999998,1.3145605879999998,1.3417448198333333,1.3667329886666666,1.3884053133333332,1.3968595491666667,1.4018198825,1.4075526900000002,1.4184822456666668,1.4366699775,1.4530000263333331,1.4742322161666666,1.499460513,1.526933236166667,1.5562575905000002,1.5777003848333333,0.0
"Population ages 70-74, male (% of male population)",SP.POP.7074,1.154597594,1.1664321863333333,1.1766366368333334,1.1879011313333334,1.2036538536666666,1.2255170165,1.2439728423333334,1.2669181878333333,1.2919525538333334,1.316261962166667,1.3390714466666669,1.35151919,1.3630290626666666,1.3757260780000002,1.3919420365,1.4125889415,1.4299162026666667,1.4481427073333333,1.4670184090000002,1.4867862835,1.5080006286666665,1.5168886410000002,1.529567786833333,1.5434451651666665,1.5550176016666668,1.5634675631666666,1.5617740173333334,1.5566460046666668,1.5531977016666667,1.5581960275,1.5747405846666667,1.5910407510000002,1.6146937425,1.643312997,1.6742281219999997,1.7063307744999998,1.7333445941666668,1.762933968166667,1.7922569468333336,1.8175353366666664,1.8373100868333336,1.8428078760000002,1.8441236643333332,1.8457314856666667,1.853550753333333,1.8706169563333332,1.8823032270000002,1.9032406844999998,1.9307675273333331,1.9609409373333335,1.9922154966666668,2.013289379666667,2.0354437285,2.0641954203333333,2.1070186691666666,2.1674772569999994,2.228925795666667,0.0
"Population ages 65-69, male (% of male population)",SP.POP.6569,1.7228963278333334,1.7435456876666666,1.7689873305,1.7969032113333334,1.8242964521666665,1.849961243,1.8608326318333335,1.8714154001666665,1.8841629235,1.902050318666667,1.9263236344999999,1.9425662605000003,1.9638060038333334,1.9879477245,2.0120800104999996,2.034464472,2.0466095433333336,2.057919271333333,2.068303575333333,2.0771163331666664,2.084202072333333,2.070009229666667,2.0570622825,2.049261114666667,2.051360828833333,2.0654693408333333,2.0789711958333337,2.1003764744999995,2.1276260885,2.1581915868333335,2.190137366,2.2110417535000004,2.234809646,2.2587020326666667,2.2783776005,2.2918797256666665,2.290954881833333,2.285642803333333,2.2806730625,2.2822753688333335,2.293621815,2.3038765453333334,2.3235370406666664,2.349865876833333,2.3789209081666667,2.409006224833333,2.42791495,2.4496004888333327,2.4791569726666665,2.5236964623333336,2.5866814821666666,2.6539188558333335,2.7363803931666673,2.8302070301666666,2.930381068333333,3.0336556583333327,3.1252982174999997,0.0
"Population ages 60-64, male (% of male population)",SP.POP.6064,2.41538592,2.4258926135,2.4328440971666665,2.4406515846666665,2.454804816,2.4774759286666668,2.4904518061666665,2.510877616166667,2.5358164441666666,2.561441557333333,2.58567071,2.5949780685,2.6061528028333334,2.616704946,2.6228770321666666,2.6229401485,2.610026066666667,2.5904673715,2.5721404675,2.5658240686666667,2.576599567666667,2.581121522,2.6020373803333334,2.6329664321666666,2.6658107025,2.6963441308333334,2.717259952666667,2.738106473666667,2.7564516169999997,2.769223775,2.7748294075,2.7623515585000002,2.744392813833333,2.7267262970000004,2.7169272696666673,2.7190428306666665,2.722943401,2.739271068166667,2.7637882415,2.7904862805,2.816651193,2.8347851095000003,2.8533523105,2.8788562191666665,2.9207221556666667,2.9836254023333333,3.053558124833333,3.1423857924999994,3.2445544635,3.3522743723333335,3.4606998705000005,3.5603620918333334,3.662317866666667,3.7640329418333334,3.8623630714999995,3.95541315,4.0295328425,0.0
"Population ages 55-59, male (% of male population)",SP.POP.5559,3.077560142666666,3.0907810243333333,3.1092266261666666,3.1306947985,3.1523964781666667,3.1725202571666666,3.175620219166666,3.1817897599999996,3.187827055666667,3.1894864800000007,3.185260340333333,3.1628706513333333,3.1365853084999995,3.1129064654999996,3.1007362775,3.1041618493333334,3.1153196496666666,3.136811107833333,3.165428983,3.1971713383333324,3.2291080406666666,3.2406678028333338,3.258895112833333,3.277175859166667,3.286782564333334,3.284103141333333,3.2651171645,3.2356195895,3.2036498630000003,3.180400268833333,3.1713885525,3.1657107855,3.1741283953333332,3.191952190333333,3.212230282333333,3.2319295779999995,3.244701877666666,3.258960535,3.2811262756666664,3.320562430833333,3.3819291136666667,3.4555117311666663,3.547359045,3.6520890401666666,3.7624275093333335,3.8736654933333337,3.9766676013333337,4.083485533166667,4.190280091333333,4.291765365333332,4.3850052515,4.462209284666667,4.529913880666666,4.594045681166667,4.663822474500001,4.743930655,4.821878646333334,0.0
"Population ages 50-54, male (% of male population)",SP.POP.5054,3.8184595578333336,3.8202994931666665,3.8200336304999998,3.8161603176666663,3.806502825666666,3.7903987751666666,3.7542753599999994,3.7149722779999994,3.6799125421666656,3.6595384375,3.6589996965,3.6642468246666673,3.6867770571666667,3.719885343333333,3.754118591333334,3.783237924833333,3.8062568121666662,3.8250156441666667,3.8372013746666673,3.8400104075,3.8321421776666664,3.7948593448333328,3.7534429735000003,3.712624839333334,3.679545859333333,3.6587790630000003,3.6472345293333337,3.648342402333333,3.6580262336666673,3.6701100834999996,3.6812651683333333,3.6860484400000004,3.691296387833333,3.705049014,3.738398695166666,3.7967977315,3.8699071396666667,3.9650454340000003,4.075173632833334,4.190251390166666,4.3037639238333325,4.411251845,4.518835315833334,4.623748446333334,4.722719311,4.813809056166666,4.888676417,4.955593317333332,5.0195070155,5.0879266215,5.164805607333334,5.243794994166667,5.329726490666666,5.417325996833333,5.498888864666667,5.569558628,5.623590098,0.0
"Population ages 45-49, male (% of male population)",SP.POP.4549,4.472509716166666,4.427894523,4.3726991035,4.318533292,4.2810815995,4.267740917333334,4.263452201833333,4.2808907945,4.311793603166667,4.3451672595,4.374381064666666,4.393814223333333,4.4144536998333335,4.429935933333333,4.431791708666666,4.415801984833332,4.384346246333332,4.334149257000001,4.276945324666666,4.2292020415,4.199456284166666,4.169724305333333,4.163315505166667,4.170431934166667,4.177606497333334,4.179094546666667,4.179000290333334,4.175283192166667,4.178008932,4.201869389,4.253722160166666,4.326117590833333,4.421672574833334,4.533109849166666,4.649780168166667,4.764861394333334,4.873728197833333,4.984036506333333,5.091413606333334,5.190400943,5.278070415666667,5.352220559333333,5.413620082833333,5.469172569166667,5.529641960166667,5.600602216833333,5.674979418333333,5.759890561833333,5.847891348,5.9277613623333325,5.9929215135,6.045145118000001,6.087956774333333,6.1203692065,6.141192182166666,6.150800544166667,6.143939405,0.0
"Population ages 40-44, male (% of male population)",SP.POP.4044,4.977523775,4.969920522,4.980425320666666,5.002479863,5.026979717500001,5.047732611833333,5.057783762500001,5.070643768000001,5.078980640166667,5.073475328833333,5.050120867666666,5.007718878166667,4.951114891833333,4.889578084833333,4.836082623666667,4.7974659666666675,4.775167337666667,4.7646706335,4.761611369833333,4.759065675666666,4.753521715333334,4.734100152666667,4.719439686,4.716245413,4.7347441266666666,4.780480095500001,4.854580104166668,4.950453363166667,5.0608771435,5.176166288166666,5.289477403666666,5.400972609,5.511376279,5.617016857,5.713214672833334,5.797679255833333,5.866667212166667,5.923775693833334,5.9751413803333335,6.030201107333333,6.093939101166666,6.1654970805,6.244039094000001,6.3232278688333325,6.393896561166667,6.450476987999999,6.4938880315,6.5306641863333335,6.5578541085,6.571168415999999,6.569797975833333,6.556717667833333,6.525593362666666,6.495764057666666,6.495911468333333,6.541129829833333,6.624325492166668,0.0
"Population ages 35-39, male (% of male population)",SP.POP.3539,5.8588200761666664,5.867516480333332,5.8706871236666665,5.863802947500001,5.841185200166667,5.800512994999999,5.736147148166666,5.6581271420000006,5.576624162333334,5.5066380865,5.456952312833333,5.4256596681666664,5.4166689775,5.4202776725,5.421879197500001,5.414151602666666,5.403144452666667,5.380352277833334,5.360875019999999,5.3663611305000005,5.40734714,5.468320790166666,5.564428656333333,5.681962737666666,5.802062725833333,5.9142485205,6.0286827245,6.137850065166667,6.239011242,6.329617864333334,6.4079350501666665,6.47324313,6.522371303333333,6.563919947166667,6.610043673666667,6.667132794666666,6.730448012666666,6.804097900166667,6.879545673833333,6.944118160999999,6.990554621666668,7.026153826499999,7.050010669166666,7.060996714833332,7.058023199,7.042098151166667,7.013650870999999,6.970466147666666,6.930991548000001,6.922310440166666,6.958925029666666,7.041375327,7.1653523041666665,7.308589093000001,7.4374158144999996,7.531040671333334,7.594168948166666,0.0
"Population ages 30-34, male (% of male population)",SP.POP.3034,6.722979588333334,6.644339095333334,6.540767207833333,6.429020779166667,6.331870138333333,6.261245525166667,6.206047205333333,6.179429596166667,6.169828740333333,6.160600117,6.144287149166666,6.125078836333333,6.1032091453333335,6.090933679833333,6.105414150333334,6.154611522333334,6.232853101833334,6.331907338166666,6.444698941166667,6.561437468833333,6.6747733380000005,6.774868977833333,6.880941770833334,6.9837036895,7.071619231833334,7.140267621666666,7.2006684346666665,7.240296098833333,7.2697727105,7.305023160166667,7.353606458333334,7.411142989666668,7.476624323333333,7.542710439166666,7.597693400000001,7.634764263499999,7.655745619666667,7.667333439833333,7.666585815999999,7.649366943833333,7.615415947333333,7.571409648166668,7.507334346833333,7.445629984,7.41898792,7.444367674666666,7.516853296666667,7.6383445255,7.782877912166668,7.910854796833333,7.998428606,8.058471409,8.081857161166665,8.076407778666669,8.056423461666666,8.030559928499999,7.997501268833332,0.0
"Population ages 25-29, male (% of male population)",SP.POP.2529,7.254197454833332,7.186069561833333,7.141419575,7.111381373666667,7.082295428166668,7.0478169358333345,6.999407164666667,6.951423207666667,6.9174729778333335,6.917584583666667,6.962139550666667,7.0444010965,7.164506015833333,7.3085539805,7.4560891840000005,7.593548899833333,7.7168388688333325,7.823409761166666,7.912416388333334,7.985067928499999,8.042675721499998,8.073762931,8.096353209,8.115376706166666,8.1391335035,8.173533184666665,8.225179799166666,8.283725101333333,8.341294104000001,8.386979696666666,8.414014348833334,8.423551884,8.418763513,8.3988115665,8.362066240333334,8.310149833000002,8.241364898166667,8.155210241833332,8.073721067166668,8.029163779500001,8.038860458,8.103211189666666,8.216046076833333,8.351333382833333,8.4704930965,8.550383474833334,8.596784231833333,8.609990908666667,8.5955196005,8.5644572945,8.524659275,8.481477676999999,8.424049305333334,8.357776976333334,8.290041736500001,8.225147471333335,8.164614879499998,0.0
"Population ages 20-24, male (% of male population)",SP.POP.2024,8.155158770833333,8.092529071499998,8.0186408805,7.955332062666667,7.932540118166667,7.964442835166667,8.025429609833333,8.1331678555,8.271153089,8.417035726833333,8.557713335833336,8.693177999666666,8.829256796166668,8.956752932,9.063363078,9.1420704425,9.181947326999998,9.184462159666667,9.169060712833334,9.162755507,9.178776113833333,9.194997333166667,9.237084945166666,9.288188837166667,9.325050259833333,9.3366617885,9.333294648499999,9.3134796345,9.276355370166666,9.221477879166667,9.150518758166667,9.057028443833333,8.9413494025,8.831229217999999,8.764738504833332,8.7615711935,8.806711508166666,8.909722661,9.040460183833332,9.1539048315,9.223646160833333,9.258458632333332,9.253328365499998,9.217031172499999,9.165648078833334,9.1094309095,9.042485109333333,8.967469379166667,8.8876213105,8.806449829,8.726518719333333,8.652752236166668,8.580449940333333,8.50751009,8.430000737833334,8.345711105666666,8.253717750666668,0.0
"Population ages 15-19, male (% of male population)",SP.POP.1519,9.175044634833334,9.238819406166668,9.344435925333332,9.477543761833333,9.618860379833334,9.756045022833334,9.869141041833332,9.987241407666666,10.099392929166667,10.193218317666668,10.263997942333333,10.309000686333333,10.332782519833335,10.344883274666667,10.359381589499998,10.382974969166666,10.405026956333336,10.4276046605,10.4461912265,10.4533018395,10.443401383666666,10.396127843,10.350455113499999,10.296278049666666,10.220674818166666,10.121319885666667,10.003362627666666,9.860145325166666,9.721325638666668,9.630075699166666,9.607960231666665,9.637710465333335,9.728489542333334,9.850234665666667,9.956131682833332,10.017808582666666,10.028770524833334,10.004191471666667,9.951194869666667,9.8827222425,9.807089060500001,9.717689809666668,9.615559847333335,9.507328501333333,9.401193389333333,9.301286729666666,9.201346874833332,9.111021771833332,9.025015888333334,8.934163681166666,8.833349746166666,8.725899369666665,8.608459149666666,8.488147767,8.375120230666665,8.274231732166667,8.179471391166667,0.0
"Population ages 10-14, male (% of male population)",SP.POP.1014,11.195166089166667,11.319583043833333,11.430220443333333,11.529172388500001,11.611209871166666,11.662875632,11.667384111833334,11.656369980166666,11.636119945333332,11.621585906,11.624603031333331,11.64462837,11.684499658333332,11.730812627333334,11.757184158333333,11.741065467333334,11.695550078666669,11.615891036,11.5150599085,11.401196182666666,11.270056736333336,11.099006015666667,10.9271476045,10.762081807000001,10.6332411275,10.573398051833335,10.588938904166667,10.663970739166666,10.774276178500001,10.873614780166667,10.921738587166667,10.918311575833334,10.872190246333332,10.793871322166666,10.699841314333334,10.599273763333333,10.480601549,10.3559064095,10.2267107335,10.096772023166666,9.970575959833335,9.848524098333334,9.7312709445,9.617065851166666,9.501038721833334,9.378061671166666,9.246318436166666,9.112097020666667,8.976453204333334,8.844467951,8.721926893666668,8.614226762166668,8.514591560000001,8.420230659666666,8.323197970833334,8.215119578666668,8.095749537166666,0.0
"Population ages 5-9, male (% of male population)",SP.POP.0509,13.392914710000001,13.439789515000001,13.434032416666666,13.379555566666667,13.29773963,13.215079590666667,13.186110326833335,13.184836110666668,13.1984979005,13.200446217666666,13.158294870833332,13.118743494166665,13.049423275499999,12.9425333425,12.798082567666667,12.624965720666665,12.483441429666664,12.300846454833334,12.092987491666667,11.895559649166666,11.747312009,11.674218893499999,11.6988803075,11.801379691666668,11.922057333333335,11.983107846666668,12.000924215,11.953257976666668,11.839158478333333,11.683553468166666,11.524474014333334,11.385943304500001,11.234324575166667,11.073285159166668,10.907340976166665,10.740906216833332,10.583913590166667,10.439734691666667,10.305438243666666,10.172193425166668,10.028670953333334,9.881877378333334,9.725614186666666,9.561621509,9.397113958,9.241218970833334,9.101539983833332,8.977846747333334,8.867130453666666,8.759558433666667,8.642325143666667,8.521329025666667,8.385496037833333,8.236956302833333,8.086145848166666,7.947541015833334,7.831200221333334,0.0
"Population ages 0-4, male (% of male population)",SP.POP.0004,15.517461420000002,15.438800485,15.400030748333334,15.377861969999998,15.334312669999997,15.24941880166667,15.213087236666667,15.069438296666666,14.853012056666666,14.608125088333333,14.369115605,14.131314078333332,13.867699754999999,13.610708303333334,13.404011233333334,13.276497103333334,13.166714480000001,13.196241503333333,13.302244295,13.39195116,13.41045225,13.522235098333333,13.43124264166667,13.205439503333332,12.946271874999999,12.723335316666665,12.453441803333332,12.2373185335,12.063401475,11.896134671666665,11.712791366666666,11.52954877833333,11.355727800000002,11.182775763833334,11.007051208833332,10.826097709499999,10.668096506,10.479468860666666,10.274508551833334,10.074441823833334,9.894556336166666,9.716498219833332,9.568627140166665,9.440066895833333,9.309592477333334,9.1641340875,9.039028501333332,8.8779559775,8.696763529,8.522751710666666,8.374035483833334,8.219048914666667,8.107415539499998,8.024665361666665,7.944783084666667,7.8510520745,7.783337709333334,0.0
